asset,t,direction,entry,risk,R,R18,cost_R,kind,exit_bar_ts,exit_price,missing,max_consecutive_missing,in_on_R1,in_on_R2,z_R1,z_R2,entry_ts,entry_day
ETH,2022-06-25T04:15:00+00:00,long,1214.77,45.1048279349068,-1.0269321501847448,-1.0484778703325408,0.026932150184745186,stop,2022-06-28T01:45:00+00:00,1169.6651720650932,0,0,False,True,-0.4019197638390968,0.37294961489981804,1656131400,2022-06-25
ETH,2022-06-25T10:15:00+00:00,long,1221.21,41.64153010093181,-1.0293267321599355,-1.0527881178878855,0.029326732159937443,stop,2022-06-25T16:00:00+00:00,1179.5684698990683,0,0,False,True,-0.4309855692009811,0.31416979207537976,1656153000,2022-06-25
ETH,2022-07-17T07:30:00+00:00,long,1361.4,55.240965915245624,3.214074863795951,3.1943590608233707,0.024644753715725227,tif,2022-07-20T07:30:00+00:00,1540.31,0,0,False,False,-1.3171261796454001,-0.7560003181052787,1658043900,2022-07-17
ETH,2022-07-17T13:30:00+00:00,long,1351.44,66.61583998481113,3.719664272889111,3.7034346193975916,0.020287066864399482,tif,2022-07-20T13:30:00+00:00,1600.58,0,0,True,True,0.47058865341225553,1.4553605898166175,1658065500,2022-07-17
ETH,2022-07-18T01:30:00+00:00,long,1355.37,55.46563501390264,3.2456967265384478,3.226147757167986,0.024436211713077333,tif,2022-07-21T01:30:00+00:00,1536.75,0,0,False,False,-0.45845257284183527,-0.8867390249487459,1658108700,2022-07-18
ETH,2022-07-18T13:30:00+00:00,long,1479.44,78.72711152258836,0.17669338720764138,0.16165978598552092,0.018792001527650606,tif,2022-07-21T13:30:00+00:00,1494.83,0,0,False,False,-1.7285200304816533,-0.9594869347571916,1658151900,2022-07-18
ETH,2022-07-18T19:30:00+00:00,long,1467.4,80.990778604493,1.1062074169889478,1.0917129273664603,0.018118112028109278,tif,2022-07-21T19:30:00+00:00,1558.46,0,0,True,False,0.3119337273626152,-0.4647458866981531,1658173500,2022-07-18
ETH,2022-07-28T23:00:00+00:00,long,1735.57,83.02432306396214,-0.7182903491312597,-0.7350138338735602,0.02090435592787565,tif,2022-07-31T23:00:00+00:00,1677.67,0,0,False,False,-0.875043363480017,-0.15416957283792826,1659050100,2022-07-28
ETH,2022-07-29T05:00:00+00:00,long,1724.09,65.43783500570835,-1.0263469902366062,-1.0474245824258905,0.026346990236605507,stop,2022-07-29T12:45:00+00:00,1658.6521649942915,0,0,True,False,0.10895263516809804,-0.0006948157230299871,1659071700,2022-07-29
ETH,2022-07-29T11:00:00+00:00,long,1711.02,59.963386907565436,-1.0285344122178666,-1.0513619419921614,0.028534412217868312,stop,2022-08-01T10:45:00+00:00,1651.0566130924346,0,0,False,False,-1.0345224492632317,-0.8565946929282875,1659093300,2022-07-29
ETH,2022-09-16T00:45:00+00:00,short,1481.99,68.90692031050376,1.9933848353844057,1.9761791324643279,0.0215071286500972,tif,2022-09-19T00:45:00+00:00,1343.15,0,0,True,True,-2.398538062792587,-2.535199678905878,1663290000,2022-09-16
ETH,2022-09-16T14:00:00+00:00,short,1451.62,61.20335844498533,1.6680192491685812,1.6490448655807284,0.023717979484815965,tif,2022-09-19T14:00:00+00:00,1348.08,0,0,True,True,-0.8347498180418886,-0.5979997992378989,1663337700,2022-09-16
ETH,2022-09-16T20:45:00+00:00,short,1437.21,55.6624591229768,1.427583172788692,1.4069270965370162,0.02582009531459484,tif,2022-09-19T20:45:00+00:00,1356.31,0,0,True,True,-0.18520113036090882,-0.07485476968353558,1663362000,2022-09-16
ETH,2022-09-19T09:45:00+00:00,short,1296.39,46.52967162923113,-1.0278615763792676,-1.0501508374826805,0.02786157637926623,stop,2022-09-19T14:00:00+00:00,1342.9196716292313,0,0,False,True,0.00931532412439968,-0.3029803998295787,1663581600,2022-09-19
ETH,2022-10-24T05:30:00+00:00,long,1340.84,25.326558370120104,5.947057946823839,5.9047043042829115,0.052942053176159264,target,2022-10-25T17:00:00+00:00,1492.7993502207205,0,0,True,True,1.9247893276056611,0.03673540357876568,1666590300,2022-10-24
ETH,2022-10-25T14:30:00+00:00,long,1379.22,29.963559777864297,5.953970088660194,5.917146159588351,0.04602991133980364,target,2022-10-26T14:00:00+00:00,1559.0013586671857,0,0,False,True,-3.1257369399243884,0.003558105447778656,1666709100,2022-10-25
ETH,2022-10-25T21:00:00+00:00,long,1472.87,85.7264689498075,1.0082898672825156,0.9945450342754557,0.01718104125882473,tif,2022-10-28T21:00:00+00:00,1560.78,0,0,False,False,-0.7099964352011165,-1.8107710568054256,1666732500,2022-10-25
