t,direction
2025-10-03T16:45:00+00:00,long
2025-10-04T00:00:00+00:00,long
2025-10-05T12:00:00+00:00,long
2025-10-06T00:30:00+00:00,long
2025-11-14T05:30:00+00:00,short
2025-11-15T05:30:00+00:00,short
2025-11-18T18:00:00+00:00,short
2025-11-20T20:15:00+00:00,short
2025-11-21T03:30:00+00:00,short
2025-11-21T10:30:00+00:00,short
2025-11-21T16:30:00+00:00,short
2025-11-21T23:15:00+00:00,short
2025-12-03T10:30:00+00:00,long
2026-01-05T02:15:00+00:00,long
2026-01-05T16:30:00+00:00,long
2026-01-06T07:00:00+00:00,long
2026-01-15T07:00:00+00:00,long
2026-01-15T13:00:00+00:00,long
2026-01-26T13:30:00+00:00,short
2026-01-30T07:00:00+00:00,short
2026-01-30T14:00:00+00:00,short
2026-02-01T14:45:00+00:00,short
2026-02-04T03:00:00+00:00,short
2026-02-05T14:00:00+00:00,short
2026-02-05T21:15:00+00:00,short
2026-02-26T07:30:00+00:00,long
2026-02-26T14:00:00+00:00,long
2026-03-04T09:45:00+00:00,long
2026-03-04T16:15:00+00:00,long
2026-03-04T22:30:00+00:00,long
2026-03-05T11:15:00+00:00,long
2026-03-05T17:15:00+00:00,long
2026-03-16T00:30:00+00:00,long
2026-03-16T18:45:00+00:00,long
2026-03-17T19:45:00+00:00,long
2026-03-27T19:30:00+00:00,short
2026-03-28T07:45:00+00:00,short
2026-04-08T00:30:00+00:00,long
2026-04-08T07:30:00+00:00,long
2026-04-08T13:30:00+00:00,long
2026-04-14T21:30:00+00:00,long
2026-04-15T05:15:00+00:00,long
2026-04-18T03:45:00+00:00,long
2026-05-04T03:30:00+00:00,long
2026-05-04T22:30:00+00:00,long
2026-05-06T16:15:00+00:00,long
2026-05-06T23:00:00+00:00,long
2026-05-16T08:00:00+00:00,short
2026-05-16T14:45:00+00:00,short
2026-05-28T17:45:00+00:00,short
2026-06-03T18:45:00+00:00,short
2026-06-04T10:30:00+00:00,short
2026-06-04T17:00:00+00:00,short
2026-06-04T23:45:00+00:00,short
2026-06-26T06:15:00+00:00,short
2026-07-01T03:45:00+00:00,short
2026-07-01T18:30:00+00:00,short
2026-07-06T05:15:00+00:00,long
2026-07-06T17:45:00+00:00,long
2026-07-15T23:30:00+00:00,long
