asset,t,direction,entry,risk,R,R18,cost_R,kind,exit_bar_ts,exit_price,missing,max_consecutive_missing,in_on_R1,in_on_R2,z_R1,z_R2,entry_ts,entry_day
BTC,2022-05-13T20:00:00+00:00,long,29912.5,1420.2985164251181,-0.2348890012500338,-0.2517375719717942,0.02106071340220052,tif,2022-05-16T20:00:00+00:00,29608.8,0,0,False,True,-0.6961260019785906,0.7287091332151191,1652472900,2022-05-13
BTC,2022-05-20T06:15:00+00:00,long,29989.3,639.4225852100608,-1.0469005954648098,-1.0844210718366578,0.0469005954648099,stop,2022-05-20T15:00:00+00:00,29349.87741478994,0,0,False,False,-0.9034804335382629,-1.1339115406040372,1653028200,2022-05-20
BTC,2022-06-11T04:00:00+00:00,short,29287.6,402.88291218728574,5.927304933731257,5.86914888071626,0.07269506626874572,target,2022-06-12T14:15:00+00:00,26870.302526876283,0,0,True,True,-0.7706172600319038,-1.1865872113597957,1654920900,2022-06-11
BTC,2022-06-11T10:00:00+00:00,short,29057.7,508.83387379891866,5.942893542477709,5.897208376459877,0.05710645752228957,target,2022-06-13T01:15:00+00:00,26004.69675720649,0,0,False,True,0.3570117488123629,-3.7083501506047747,1654942500,2022-06-11
BTC,2022-06-11T16:00:00+00:00,short,28384.9,919.8467422347443,5.969141707311984,5.944455073161569,0.030858292688018454,target,2022-06-13T14:45:00+00:00,22865.819546591534,0,0,False,False,1.4335696966746914,2.5380809472039503,1654964100,2022-06-11
BTC,2022-06-12T06:00:00+00:00,short,27404.2,925.3474745672246,-1.0296150373272666,-1.0533070671890796,0.029615037327266343,stop,2022-06-12T15:30:00+00:00,28329.547474567225,0,0,False,True,0.10877677614851707,-0.4128234413176276,1655014500,2022-06-12
BTC,2022-06-12T21:00:00+00:00,short,27485.9,783.6855871923697,5.964927388675767,5.936869299616383,0.035072611324231354,target,2022-06-13T14:45:00+00:00,22783.786476845784,0,0,False,True,0.9291255491798089,-0.11445721098425796,1655068500,2022-06-12
BTC,2022-07-08T09:30:00+00:00,long,21483.5,688.2784890832471,-1.0312133828686352,-1.056184089163542,0.031213382868633538,stop,2022-07-10T16:00:00+00:00,20795.221510916752,0,0,False,True,-2.0894731633391026,0.15992356225619436,1657273500,2022-07-08
BTC,2022-07-08T15:45:00+00:00,long,21947.3,959.1565872374667,-1.0228818738170917,-1.041187372870765,0.022881873817091676,stop,2022-07-10T13:30:00+00:00,20988.143412762533,0,0,True,False,0.08231247910860041,-0.11560251678099705,1657296000,2022-07-08
BTC,2022-07-08T21:45:00+00:00,long,21695.9,758.6882006327589,-1.028596596048158,-1.0514738728866857,0.02859659604815951,stop,2022-07-10T13:30:00+00:00,20937.211799367244,0,0,False,False,-0.007861979181637935,-0.05078906614405239,1657317600,2022-07-08
BTC,2022-07-29T00:15:00+00:00,long,23707.0,690.4402354104448,-0.5609565899208595,-0.5884254409919816,0.03433606383890264,tif,2022-08-01T00:15:00+00:00,23343.4,0,0,False,False,-1.0431300086800552,-1.8170837105201028,1659054600,2022-07-29
BTC,2022-08-18T11:45:00+00:00,short,23521.3,251.64969947066115,5.90653157921716,5.831756842590885,0.09346842078284404,target,2022-08-19T06:30:00+00:00,22011.40180317603,0,0,True,False,-0.4748689596849776,0.2266642409371877,1660824000,2022-08-18
BTC,2022-08-19T07:45:00+00:00,short,21892.8,820.3883437159187,0.9529720966765981,0.9316233779458201,0.02668589841347254,tif,2022-08-22T07:45:00+00:00,21089.1,0,0,True,True,-1.7317724467974367,-0.07503248484765143,1660896000,2022-08-19
BTC,2022-08-19T20:45:00+00:00,short,21266.6,548.2397897828239,0.22623932503901817,0.1952067726466799,0.03879069049042284,tif,2022-08-22T20:45:00+00:00,21121.3,0,0,False,False,0.9198934146894244,0.3547403996485844,1660942800,2022-08-19
BTC,2022-08-20T04:45:00+00:00,short,21228.1,489.67585113104974,-1.0433513311938267,-1.0780323961488862,0.04335133119382442,stop,2022-08-21T20:45:00+00:00,21717.77585113105,0,0,False,True,0.06102446580716155,-0.001071285167860004,1660971600,2022-08-20
BTC,2022-08-20T10:45:00+00:00,short,21218.2,367.99484335601016,-1.0576589601269821,-1.1037861282285695,0.057658960126984245,stop,2022-08-21T20:45:00+00:00,21586.19484335601,0,0,False,False,0.30010521012809244,0.5116493864706344,1660993200,2022-08-20
BTC,2022-09-10T08:45:00+00:00,long,21318.2,391.67407358398464,2.2589746416040977,2.215431907606048,0.054428417497562165,tif,2022-09-13T08:45:00+00:00,22224.3,0,0,False,True,-1.6294178170130795,0.02840076006727541,1662800400,2022-09-10
BTC,2022-09-11T00:00:00+00:00,long,21622.8,510.0598272104205,-1.0423926740481775,-1.076306813286718,0.04239267404817536,stop,2022-09-13T14:00:00+00:00,21112.740172789578,0,0,False,False,-2.1549169631986094,-1.446864254379395,1662855300,2022-09-11
BTC,2022-09-11T06:15:00+00:00,long,21505.2,344.2911159952882,-1.062462256505902,-1.1124320617106216,0.06246225650589925,stop,2022-09-13T14:00:00+00:00,21160.90888400471,0,0,True,False,0.4581422897977683,-0.371330814293383,1662877800,2022-09-11
BTC,2022-10-21T12:45:00+00:00,short,18870.1,368.2729518791848,-1.05123944048487,-1.092230992872764,0.0512394404848676,stop,2022-10-21T19:45:00+00:00,19238.372951879184,0,0,True,False,-1.1458912865212194,0.6740240691481026,1666357200,2022-10-21
BTC,2022-10-27T08:30:00+00:00,long,20688.2,291.37701390544817,-1.0710014826588619,-1.127802668785955,0.07100148265886656,stop,2022-10-27T20:15:00+00:00,20396.822986094554,0,0,False,False,-1.6083829347132912,-1.0806619406930427,1666860300,2022-10-27
BTC,2022-10-27T14:30:00+00:00,long,20556.5,536.1568453530756,-1.038340459845219,-1.0690128277213957,0.038340459845221074,stop,2022-10-28T08:15:00+00:00,20020.343154646926,0,0,True,False,0.4272223511912452,-1.0532111831518707,1666881900,2022-10-27
BTC,2022-11-09T05:15:00+00:00,short,18396.3,850.8602064789602,1.9935163110039533,1.9762196506501892,0.02162082544220488,tif,2022-11-12T05:15:00+00:00,16681.7,0,0,False,False,2.824335084876676,3.1429747079001102,1667971800,2022-11-09
BTC,2022-12-14T09:15:00+00:00,long,17822.2,141.47651852163204,-1.1259728482594373,-1.2267511268669926,0.12597284825944421,stop,2022-12-14T20:30:00+00:00,17680.72348147837,0,0,False,False,-3.167441989104494,-2.4117403333426215,1671010200,2022-12-14
BTC,2022-12-15T07:45:00+00:00,long,17686.0,174.5290898921692,-1.1013355424641715,-1.1824039764355037,0.10133554246416511,stop,2022-12-15T13:00:00+00:00,17511.47091010783,0,0,False,False,-0.9999810031102434,-1.4853207880567474,1671091200,2022-12-15
BTC,2022-12-15T14:30:00+00:00,long,17510.4,269.54864120382774,-1.064961930142907,-1.1169314742572367,0.06496193014291234,stop,2022-12-16T08:45:00+00:00,17240.851358796175,0,0,True,True,0.9413751023875819,0.6992903393199553,1671115500,2022-12-15
BTC,2023-01-12T16:00:00+00:00,long,18092.1,493.37975732826794,5.963330275044176,5.933994495079515,0.036669724955826474,target,2023-01-14T00:30:00+00:00,21052.378543969608,0,0,True,False,0.021678233700019537,-0.050926281019139714,1673540100,2023-01-12
BTC,2023-01-13T05:00:00+00:00,long,18809.7,260.90063419114307,5.927904736382441,5.87022852548839,0.07209526361756366,target,2023-01-14T00:15:00+00:00,20375.10380514686,0,0,False,False,-1.279561536007295,-2.3616506061849623,1673586900,2023-01-13
BTC,2023-01-13T11:15:00+00:00,long,18962.2,278.25222944593116,5.931852477740217,5.877334459932394,0.06814752225977998,target,2023-01-14T00:30:00+00:00,20631.713376675587,0,0,False,False,-1.5189837445821046,-0.7494157656081227,1673609400,2023-01-13
BTC,2023-01-14T14:15:00+00:00,long,20933.1,643.6798964769346,0.5014400818894718,0.47542329918170223,0.03252097838471193,tif,2023-01-17T14:15:00+00:00,21276.8,0,0,False,False,-5.918920122616778,-6.02461577931924,1673706600,2023-01-14
BTC,2023-01-14T21:15:00+00:00,long,20879.6,492.395594778238,0.8684488743092614,0.8345255813774413,0.04240411616477524,tif,2023-01-17T21:15:00+00:00,21328.1,0,0,False,False,-1.609809297450875,-1.6368980069188146,1673731800,2023-01-14
BTC,2023-02-24T02:15:00+00:00,short,23980.5,449.64273614719644,0.9525773810338687,0.9099115077577135,0.05333234159519407,tif,2023-02-27T02:15:00+00:00,23528.2,0,0,False,False,0.9606666436721576,1.5247061988354897,1677205800,2023-02-24
BTC,2023-02-24T08:15:00+00:00,short,23841.9,367.6381892753647,1.3049735147092092,1.253092288665759,0.06485153255431302,tif,2023-02-27T08:15:00+00:00,23338.3,0,0,False,False,2.0583574203106867,1.3770994565927646,1677227400,2023-02-24
BTC,2023-02-24T22:00:00+00:00,short,23121.6,543.8203744757968,-1.0425169800272496,-1.076530564049051,0.04251698002725171,stop,2023-02-26T20:30:00+00:00,23665.420374475794,0,0,False,False,0.8379895141379857,0.7338543767890173,1677276900,2023-02-24
BTC,2023-02-25T11:15:00+00:00,short,22997.4,266.4354826905407,-1.0863150799877146,-1.1553671439778883,0.08631507998771697,stop,2023-02-26T09:45:00+00:00,23263.83548269054,0,0,False,False,1.8727173072471142,1.3971065735409067,1677324600,2023-02-25
BTC,2023-03-03T08:45:00+00:00,short,22419.4,331.4574476296755,-0.027211336068923002,-0.0813224146651676,0.06763884824530575,tif,2023-03-06T08:45:00+00:00,22406.0,0,0,True,True,-1.0663417437156517,-2.5741764511684666,1677834000,2023-03-03
BTC,2023-03-04T00:15:00+00:00,short,22360.3,268.2482276095987,-1.083356748334389,-1.1500421470019027,0.08335674833439191,stop,2023-03-05T01:15:00+00:00,22628.548227609597,0,0,True,False,-0.03860211386711189,1.5975445255608252,1677889800,2023-03-04
BTC,2023-03-14T01:30:00+00:00,long,24217.2,729.2635442514983,1.561140425809324,1.5345742274127143,0.03320774799576202,tif,2023-03-17T01:30:00+00:00,25379.9,0,0,False,False,-3.8088280215374866,-4.472620654847552,1678758300,2023-03-14
BTC,2023-03-14T09:15:00+00:00,long,24180.1,620.3530059738075,3.0384633939850487,3.0072810190892674,0.038977968619726376,tif,2023-03-17T09:15:00+00:00,26089.2,0,0,False,False,-0.7785188339551663,-0.9705877048336122,1678786200,2023-03-14
BTC,2023-03-15T00:00:00+00:00,long,24582.1,1304.7092484250961,2.054801024240546,2.039728179448698,0.01884105598980988,tif,2023-03-18T00:00:00+00:00,27287.6,0,0,False,False,-2.6326590982047597,-2.980099244989363,1678839300,2023-03-15
BTC,2023-03-18T11:30:00+00:00,long,27360.0,573.4277376109715,-1.0477130738634786,-1.085883532954262,0.04771307386347911,stop,2023-03-18T16:30:00+00:00,26786.57226238903,0,0,True,True,0.38238011285556794,0.35730789593803075,1679139900,2023-03-18
BTC,2023-03-30T03:00:00+00:00,long,28374.5,1042.6770987241398,-0.0013182412864748763,-0.023088739581465827,0.027213122868738695,tif,2023-04-02T03:00:00+00:00,28401.5,0,0,True,True,1.5278384518125467,0.5930486170953452,1680146100,2023-03-30
BTC,2023-04-11T02:30:00+00:00,long,30073.9,979.8561131822322,0.5612314834818258,0.536677755973953,0.03069215938484113,tif,2023-04-14T02:30:00+00:00,30653.9,0,0,False,False,-2.845436398419053,-3.012888888542668,1681181100,2023-04-11
BTC,2023-04-11T08:30:00+00:00,long,30076.9,518.1661992879134,1.118604611409506,1.0721686994703128,0.05804488992399155,tif,2023-04-14T08:30:00+00:00,30686.6,0,0,False,False,-2.9561799156721156,-1.3869080249009893,1681202700,2023-04-11
