date,nav,daily_ret,w_gold,w_ema,w_cash,w_tactical,idle,routed,gross,net_btc,n_active,turnover_cost
2025-11-03,4.2043253,-0.0031375873,0.32592593,0.10666667,0.047407407,0.14,0.33,0,0.66259259,0.25666667,2,0
2025-11-04,4.1668004,-0.0089253218,0.32592593,0.10666667,0.047407407,0.14,0.33,0,0.57259259,0.10666667,2,0
2025-11-05,4.2416346,0.017959635,0.32592593,0.10666667,0.047407407,0.28,0.19,0,0.92259259,0.20666667,5,0
2025-11-06,4.2374887,-0.00097742575,0.32592593,0.10666667,0.047407407,0.14,0.33,0,0.57259259,0.10666667,2,0
2025-11-07,4.2238578,-0.0032167454,0.32592593,0.10666667,0.047407407,0.22,0.25,0,0.77259259,0.20666667,4,0
2025-11-08,4.2185413,-0.0012586948,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,0.10666667,1,0
2025-11-09,4.2126111,-0.0014057397,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,-0.10666667,1,0
2025-11-10,4.2430608,0.0072282365,0.32592593,0.10666667,0.047407407,0.14,0.33,0,0.66259259,0.043333333,2,0
2025-11-11,4.2601832,0.0040353698,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,-0.10666667,1,0
2025-11-12,4.2962475,0.0084654402,0.32592593,0.10666667,0.047407407,0.22,0.25,0,0.86259259,-0.0066666667,4,0
2025-11-13,4.304437,0.0019062094,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,-0.10666667,1,0
2025-11-14,4.2616594,-0.0099380208,0.32592593,0.10666667,0.047407407,0.16,0.31,0,0.71259259,-0.0066666667,3,0
2025-11-15,4.2631977,0.00036095111,0.32592593,0.10666667,0.047407407,0.14,0.33,0,0.57259259,-0.10666667,2,0
2025-11-16,4.268289,0.0011942415,0.32592593,0.10666667,0.047407407,0.14,0.33,0,0.57259259,-0.10666667,2,0
2025-11-17,4.2568278,-0.0026851976,0.32592593,0.10666667,0.047407407,0.14,0.33,0,0.57259259,-0.10666667,2,0
2025-11-18,4.2683239,0.0027006354,0.32592593,0.10666667,0.047407407,0.16,0.31,0,0.59259259,-0.18666667,2,0
2025-11-19,4.2894696,0.004954103,0.32592593,0.10666667,0.047407407,0.16,0.31,0,0.59259259,-0.18666667,2,0
2025-11-20,4.3112759,0.0050836628,0.32592593,0.10666667,0.047407407,0.16,0.31,0,0.59259259,-0.18666667,2,0
2025-11-21,4.3210362,0.0022639055,0.32592593,0.10666667,0.047407407,0.22,0.25,0,0.65259259,-0.18666667,3,0
2025-11-22,4.3217933,0.00017521944,0.32592593,0.10666667,0.047407407,0.14,0.33,0,0.57259259,-0.10666667,2,0
2025-11-23,4.3144057,-0.001709392,0.32592593,0.10666667,0.047407407,0.14,0.33,0,0.57259259,-0.10666667,2,0
2025-11-24,4.3336272,0.0044552083,0.32592593,0.10666667,0.047407407,0.14,0.33,0,0.57259259,-0.10666667,2,0
2025-11-25,4.3333666,-6.0149936e-05,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,-0.10666667,1,0
2025-11-26,4.3294868,-0.00089533477,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,-0.10666667,1,0
2025-11-27,4.3236385,-0.0013507949,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,-0.10666667,1,0
2025-11-28,4.3503671,0.0061819744,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,-0.10666667,1,0
2025-11-29,4.3559773,0.0012895851,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,-0.10666667,1,0
2025-11-30,4.3550726,-0.00020768915,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,-0.10666667,1,0
2025-12-01,4.3686974,0.0031284771,0.32592593,0.10666667,0.047407407,0.14,0.33,0,0.66259259,0.043333333,2,0
2025-12-02,4.3313564,-0.0085473942,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,-0.10666667,1,0
2025-12-03,4.3344397,0.00071187026,0.32592593,0.10666667,0.047407407,0.3,0.17,0,0.73259259,0.013333333,5,0
2025-12-04,4.340012,0.0012855794,0.32592593,0.10666667,0.047407407,0.22,0.25,0,0.65259259,-0.026666667,3,0
2025-12-05,4.3434167,0.00078448001,0.32592593,0.10666667,0.047407407,0.3,0.17,0,0.73259259,0.013333333,5,0
2025-12-06,4.3433867,-6.9083601e-06,0.32592593,0.10666667,0.047407407,0.22,0.25,0,0.65259259,-0.026666667,3,0
2025-12-07,4.3364632,-0.001594014,0.32592593,0.10666667,0.047407407,0.14,0.33,0,0.57259259,-0.10666667,2,0
2025-12-08,4.32874,-0.0017809954,0.32592593,0.10666667,0.047407407,0.14,0.33,0,0.57259259,-0.046666667,2,0
2025-12-09,4.3222603,-0.0014968987,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,-0.10666667,1,0
2025-12-10,4.335855,0.0031452634,0.32592593,0.10666667,0.047407407,0.22,0.25,0,0.65259259,-0.066666667,4,0
2025-12-11,4.3487531,0.0029747565,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,-0.10666667,1,0
2025-12-12,4.3671908,0.0042397705,0.32592593,0.10666667,0.047407407,0.16,0.31,0,0.59259259,-0.066666667,3,0
2025-12-13,4.3700388,0.00065213308,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,-0.10666667,1,0
2025-12-14,4.3807221,0.0024446667,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,-0.10666667,1,0
2025-12-15,4.3896276,0.0020328978,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,-0.10666667,1,0
2025-12-16,4.3841332,-0.0012516936,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,-0.10666667,1,0
2025-12-17,4.4048046,0.0047150617,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,-0.10666667,1,0
2025-12-18,4.4055183,0.00016202739,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,-0.10666667,1,0
2025-12-19,4.3922646,-0.0030084473,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,-0.10666667,1,0
