arm,asset,venues,threshold_bp,causal,cost_mode,n_intervals,n_on,on_rate,rotation_rate_on,n_cost_events,mean_gross_on_bp,mean_net_bp,ann_return_pct,total_pct,carry_bench_ann_pct
S-ETH,ETH,binance+bybit,1.0,False,every,6447,1159,0.179773538079727,0.3281519861830743,1667,3.18139232096635,-4.599467395687916,-50.36416798278268,-296.527663,10.207624123255815
S-ETH,ETH,binance+bybit,1.0,False,zero,6447,1159,0.179773538079727,0.3281519861830743,0,3.18139232096635,0.5719301535597954,6.2626351814797605,36.87233700000001,10.207624123255815
S-ETH,ETH,binance+bybit,2.0,True,pair_change,6447,556,0.08624166278889406,0.3747747747747748,610,1.6140359712230217,-1.7531558864588181,-19.197056956724058,-113.02596,10.207624123255815
S-ETH,ETH,binance+bybit,2.0,True,every,6447,556,0.08624166278889406,0.3747747747747748,814,1.6140359712230217,-2.3860083759888324,-26.12679171707771,-153.82596,10.207624123255815
S-ETH,ETH,binance+bybit,2.0,True,zero,6447,556,0.08624166278889406,0.3747747747747748,0,1.6140359712230217,0.13919714595936095,1.5242087482550024,8.97404,10.207624123255815
S-ETH,ETH,binance+bybit,2.0,False,pair_change,6447,556,0.08624166278889406,0.3747747747747748,610,5.160076978417266,-1.4473394136807818,-15.848366579804562,-93.309972,10.207624123255815
S-ETH,ETH,binance+bybit,2.0,False,every,6447,556,0.08624166278889406,0.3747747747747748,814,5.160076978417266,-2.0801919032107956,-22.778101340158212,-134.109972,10.207624123255815
S-ETH,ETH,binance+bybit,2.0,False,zero,6447,556,0.08624166278889406,0.3747747747747748,0,5.160076978417266,0.44501361873739725,4.8728991251744995,28.690028,10.207624123255815
S-ETH,ETH,binance+bybit,3.0,True,pair_change,6447,335,0.051962152939351636,0.3413173652694611,361,2.4167337313432835,-0.9943220412595006,-10.887826351791533,-64.103942,10.207624123255815
S-ETH,ETH,binance+bybit,3.0,True,every,6447,335,0.051962152939351636,0.3413173652694611,493,2.4167337313432835,-1.4038148286024508,-15.371772373196837,-90.50394200000001,10.207624123255815
S-ETH,ETH,binance+bybit,3.0,True,zero,6447,335,0.051962152939351636,0.3413173652694611,0,2.4167337313432835,0.12557868776174963,1.3750866309911585,8.096058,10.207624123255815
S-ETH,ETH,binance+bybit,3.0,False,pair_change,6447,335,0.051962152939351636,0.3413173652694611,361,6.958789552238806,-0.758307042035055,-8.303462110283851,-48.888054999999994,10.207624123255815
S-ETH,ETH,binance+bybit,3.0,False,every,6447,335,0.051962152939351636,0.3413173652694611,493,6.958789552238806,-1.1677998293780054,-12.78740813168916,-75.28805500000001,10.207624123255815
S-ETH,ETH,binance+bybit,3.0,False,zero,6447,335,0.051962152939351636,0.3413173652694611,0,6.958789552238806,0.3615936869861951,3.959450872498836,23.311944999999998,10.207624123255815
S-ETH,ETH,binance+bybit,5.0,True,pair_change,6447,177,0.027454630060493253,0.2897727272727273,216,3.412158757062147,-0.5763995501783775,-6.311575074453233,-37.160479,10.207624123255815
S-ETH,ETH,binance+bybit,5.0,True,every,6447,177,0.027454630060493253,0.2897727272727273,279,3.412158757062147,-0.7718392895920583,-8.451640221033038,-49.760479000000004,10.207624123255815
S-ETH,ETH,binance+bybit,5.0,True,zero,6447,177,0.027454630060493253,0.2897727272727273,0,3.412158757062147,0.0936795563828137,1.02579114239181,6.039521,10.207624123255815
S-ETH,ETH,binance+bybit,5.0,False,pair_change,6447,177,0.027454630060493253,0.2897727272727273,216,9.721799435028247,-0.40317069955017837,-4.414719160074453,-25.992415,10.207624123255815
S-ETH,ETH,binance+bybit,5.0,False,every,6447,177,0.027454630060493253,0.2897727272727273,279,9.721799435028247,-0.5986104389638591,-6.554784306654258,-38.592415,10.207624123255815
S-ETH,ETH,binance+bybit,5.0,False,zero,6447,177,0.027454630060493253,0.2897727272727273,0,9.721799435028247,0.26690840701101287,2.922647056770591,17.207585,10.207624123255815
S-ETH,ETH,binance+bybit,10.0,True,pair_change,6447,53,0.008220877927718319,0.3269230769230769,73,5.742418867924527,-0.17925419574996124,-1.9628334434620758,-11.556518000000002,10.207624123255815
S-ETH,ETH,binance+bybit,10.0,True,every,6447,53,0.008220877927718319,0.3269230769230769,88,5.742418867924527,-0.22578746703893282,-2.4723727640763147,-14.556517999999999,10.207624123255815
S-ETH,ETH,binance+bybit,10.0,True,zero,6447,53,0.008220877927718319,0.3269230769230769,0,5.742418867924527,0.04720772452303396,0.5169245835272219,3.0434819999999996,10.207624123255815
S-ETH,ETH,binance+bybit,10.0,False,pair_change,6447,53,0.008220877927718319,0.3269230769230769,73,16.02256226415094,-0.09474239181014427,-1.0374291903210797,-6.108042000000001,10.207624123255815
S-ETH,ETH,binance+bybit,10.0,False,every,6447,53,0.008220877927718319,0.3269230769230769,88,16.02256226415094,-0.14127566309911588,-1.546968510935319,-9.108042000000001,10.207624123255815
S-ETH,ETH,binance+bybit,10.0,False,zero,6447,53,0.008220877927718319,0.3269230769230769,0,16.02256226415094,0.13171952846285093,1.4423288366682174,8.491958,10.207624123255815
