date,side,exit_reason,risk_bp,gross_bp,mfe_bp,mae_bp,minutes_to_mfe,minutes_held,gave_back_bp,move_after_4h_bp,move_after_12h_bp,move_after_24h_bp
2025-04-23,-1,time,184.0121472912724,-26.494401193266857,138.58857489309418,-106.07418217717662,90,363,165.08297608636104,-21.010950804543743,136.31364048524654,-6.567263479255887
2025-04-24,-1,stop,46.59222720575436,-46.59222720575436,0.0,-46.59222720575436,0,9,46.59222720575436,,,
2025-04-25,1,time,69.25792361634868,73.90191757809959,131.0579526016425,-36.8663301974914,68,373,57.15603502354293,-67.43840889785012,-75.03382499018868,-102.43233150711916
2025-04-28,-1,time,77.6271186440681,-36.1228813559322,109.40677966101725,-50.23305084745732,152,371,145.52966101694946,-24.152542372881356,-14.50211864406718,-53.972457627118644
2025-04-29,-1,stop,42.94413667695814,-42.94413667695814,0.0,-42.94413667695814,0,5,42.94413667695814,,,
2025-04-30,-1,time,98.64270122010475,-56.40541808285626,79.30309017066908,-95.9180598844108,13,373,135.70850825352534,-0.7479407588179544,-91.93260412671064,-250.16481408863984
2025-05-01,-1,stop,77.55925186725503,-77.55925186725503,11.18422356762095,-77.55925186725503,3,41,88.74347543487598,,,
2025-05-02,1,time,51.01021440150161,-24.861428945129177,79.01279323406584,-48.31191515393605,51,354,103.87422217919502,-2.636506135026789,-58.291502829094675,-56.10814618602641
2025-05-05,1,stop,77.5362971359554,-77.5362971359554,11.282437006393382,-77.5362971359554,2,64,88.81873414234877,,,
2025-05-06,-1,stop,36.55493010992296,-36.55493010992296,33.415242861215596,-36.55493010992296,1,10,69.97017297113855,,,
2025-05-07,1,stop,64.0635536768679,-64.0635536768679,17.31113998585593,-64.0635536768679,8,106,81.37469366272383,,,
2025-05-08,-1,stop,50.257950444449826,-50.257950444449826,3.9055877152611687,-50.257950444449826,0,43,54.163538159710996,,,
2025-05-09,1,stop,62.413884792960914,-62.413884792960914,31.35681307259087,-62.413884792960914,10,39,93.77069786555178,,,
2025-05-12,1,stop,89.87717328303678,-89.87717328303678,1.0042676593294553,-89.87717328303678,0,32,90.88144094236624,,,
2025-05-13,-1,stop,43.42777811615065,-43.42777811615065,65.08366034682393,-43.42777811615065,29,145,108.51143846297458,,,
2025-05-14,-1,time,72.979591206143,27.461492113028005,99.1858111761704,-34.12409041049415,217,372,71.7243190631424,-17.313099633847052,149.16495434671805,16.579248227169217
2025-05-15,-1,stop,76.91620852838699,-76.91620852838699,63.31678704346054,-76.91620852838699,59,109,140.23299557184754,,,
2025-05-16,1,stop,49.80869458109173,-49.80869458109173,13.087292239235703,-49.80869458109173,1,46,62.89598682032743,,,
2025-05-19,1,time,71.68747404736808,231.43926017052095,237.4447475754915,-6.956275394770772,203,374,6.005487404970552,7.140611841773921,-46.35576546194601,146.92585017909826
2025-05-20,1,time,55.779296543058244,213.6933303543643,240.48496097740733,-28.128347760329603,338,341,26.791630623043034,-16.451168768177244,-48.56102400171156,150.37112996518752
2025-05-21,1,stop,77.62441681439559,-77.62441681439559,239.65279765895744,-77.62441681439559,180,237,317.277214473353,,,
2025-05-22,-1,stop,61.702394406467874,-61.702394406467874,34.10272668481913,-61.702394406467874,57,135,95.805121091287,,,
2025-05-23,1,stop,98.1174472866084,-98.1174472866084,28.754002351025257,-98.1174472866084,6,129,126.87144963763365,,,
2025-05-27,-1,time,83.79610768264743,-9.670183842864144,101.10400506021334,-67.53634521736039,40,368,110.77418890307749,85.27261077646799,96.60158204572318,267.119460948772
2025-05-28,-1,time,56.214831115510364,132.958690868274,134.11252566128528,-10.162976856843793,374,374,1.1538347930112707,-76.53155415085197,-87.27606374337238,110.29737553353267
2025-05-29,-1,time,82.69148062712756,160.5143758250054,171.6013457030772,-39.74925388695573,328,370,11.086969878071784,14.819862339119005,65.31165463018354,102.53818069433662
2025-05-30,1,stop,44.741038566473485,-44.741038566473485,8.445626790207813,-44.741038566473485,2,35,53.186665356681296,,,
2025-06-02,-1,stop,60.72997253723011,-60.72997253723011,27.4820211751139,-60.72997253723011,10,36,88.21199371234401,,,
2025-06-03,1,time,65.66146018670534,48.88172987378766,105.22111766442839,-12.965725058487724,62,338,56.33938779064073,-80.40642342840188,-87.03124645098684,-123.9125826210074
2025-06-04,-1,stop,35.11335070245885,-35.11335070245885,71.39968949193377,-35.11335070245885,14,85,106.51304019439263,,,
2025-06-05,-1,time,54.82397716460624,307.0409134157945,342.5309229305423,-2.7687916270224378,332,374,35.49000951474784,39.41960038059019,-116.43196955280658,-219.2197906755471
2025-06-06,1,time,63.426464733086,-29.306146825518084,76.54819147958743,-45.289577654589166,47,331,105.85433830510551,6.039248415056758,60.938026400416256,145.20037671128046
2025-06-09,-1,stop,53.96427341027269,-53.96427341027269,28.718703288925585,-53.96427341027269,2,38,82.68297669919828,,,
2025-06-10,-1,stop,81.77976885569934,-81.77976885569934,51.368462832515085,-81.77976885569934,106,337,133.14823168821442,,,
2025-06-11,1,stop,62.63858798961667,-62.63858798961667,36.544481856001546,-62.63858798961667,20,116,99.1830698456182,,,
2025-06-12,1,time,55.24083154346583,-35.6013064391314,118.3132037535389,-47.5959783778531,234,367,153.9145101926703,-106.42120994036324,-179.0426478261646,-158.6283695927127
2025-06-13,-1,stop,67.22013926084655,-67.22013926084655,46.149284566531485,-67.22013926084655,25,64,113.36942382737803,,,
2025-06-16,1,time,38.86324312032524,162.10641959388732,189.03837569798083,-13.550198901571877,321,364,26.9319561040935,-172.56852067949302,-176.22744869780504,-370.91797918622046
2025-06-17,-1,time,50.70233961058445,50.61675801709377,177.13488039496883,-46.48982339762674,193,368,126.51812237787506,11.648605780751367,-28.061253599182013,81.51171326742889
2025-06-18,1,stop,60.91818914240278,-60.91818914240278,87.56929815233723,-60.91818914240278,28,215,148.48748729474,,,
2025-06-20,-1,time,53.71090510504733,212.82484103297057,308.40883220720826,-21.571558147006115,228,371,95.5839911742377,1.6775772372669602,-13.107849260681562,100.11439749860939
2025-06-23,1,stop,160.7776077409201,-160.7776077409201,7.529583646251298,-160.7776077409201,1,132,168.3071913871714,,,
2025-06-24,1,time,49.43459889959516,29.609462868955724,92.01066966592755,-17.345806608504507,165,344,62.40120679697183,43.01304070279855,91.70669057968757,201.00617077545064
2025-06-25,1,stop,55.322948521621115,-55.322948521621115,0.416379441959019,-55.322948521621115,20,31,55.73932796358013,,,
2025-06-26,-1,stop,43.631217939898704,-43.631217939898704,10.191848206038996,-43.631217939898704,2,40,53.8230661459377,,,
2025-06-27,-1,stop,39.67516312256544,-39.67516312256544,18.955076749753008,-39.67516312256544,4,16,58.630239872318455,,,
2025-06-30,-1,time,29.934883720930504,-17.637209302326124,75.6837209302331,-25.58139534883721,90,370,93.32093023255922,56.02790697674446,51.609302325581666,218.55813953488374
2025-07-01,1,stop,59.45602509242579,-59.45602509242579,25.43303056361607,-59.45602509242579,15,39,84.88905565604186,,,
2025-07-02,1,time,41.04733804672514,171.0738740744867,177.43880940451615,-23.121601811130017,216,373,6.3649353300294536,-76.24932732097487,-35.89786412811601,11.319564289558166
2025-07-07,1,stop,49.804753201964004,-49.804753201964004,9.999658997803762,-49.804753201964004,6,38,59.80441219976777,,,
2025-07-08,1,stop,49.78543604179694,-49.78543604179694,4.7375428738463885,-49.78543604179694,0,25,54.52297891564333,,,
2025-07-09,-1,stop,38.009520227050636,-38.009520227050636,76.24784806442543,-38.009520227050636,44,325,114.25736829147607,,,
2025-07-10,1,time,55.319168096246926,198.07918304494115,244.35709364995745,-35.44461104132105,222,349,46.2779106050163,246.12212001278667,385.11794608564804,434.64674708342824
2025-07-11,1,stop,45.70714488248019,-45.70714488248019,33.83041834262361,-45.70714488248019,5,114,79.53756322510381,,,
2025-07-14,1,stop,71.44624976848424,-71.44624976848424,7.547831616972645,-71.44624976848424,9,41,78.99408138545688,,,
2025-07-15,-1,time,104.4469021077834,72.14672534361499,136.15871767957069,-38.5845564566672,24,328,64.0119923359557,-111.68630286617196,-149.42668891638314,-235.16541050130883
2025-07-16,-1,stop,60.60503504905199,-60.60503504905199,0.5076507193833736,-60.60503504905199,0,32,61.11268576843536,,,
2025-07-17,1,time,43.786619418899896,74.20858014475814,152.9990870024036,-4.217743998184414,319,369,78.79050685764545,19.28474514832375,34.5296029730858,-134.41729918711079
2025-07-18,1,stop,37.55463581587359,-37.55463581587359,25.498815856177842,-37.55463581587359,2,10,63.05345167205143,,,
2025-07-21,1,stop,40.331549432476635,-40.331549432476635,42.867541991318895,-40.331549432476635,62,132,83.19909142379552,,,
2025-07-22,-1,stop,76.53740499182659,-76.53740499182659,97.07265281359017,-76.53740499182659,12,301,173.61005780541677,,,
2025-07-23,-1,stop,44.046378044889344,-44.046378044889344,21.512605042017054,-44.046378044889344,3,39,65.5589830869064,,,
2025-07-24,1,stop,25.398205777712118,-25.398205777712118,0.008426743787490065,-25.398205777712118,0,6,25.406632521499606,,,
2025-07-25,-1,stop,105.14435895746851,-105.14435895746851,44.996238033652375,-105.14435895746851,40,292,150.1405969911209,,,
2025-07-28,-1,time,73.18944738625481,12.698804823346665,68.70552562984345,-24.30624001164029,256,342,56.00672080649679,0.7191195269716353,-68.2063720758271,47.75799682064566
2025-07-29,-1,time,32.77936653536959,94.90672044461208,142.33057249231078,-1.7873522905085768,163,365,47.4238520476987,-34.70161333836989,-50.39153132250555,52.2969163114447
2025-07-30,1,stop,34.38760348121418,-34.38760348121418,83.93122479303757,-34.38760348121418,52,235,118.31882827425176,,,
2025-07-31,1,stop,70.31851987988199,-70.31851987988199,19.60926474530767,-70.31851987988199,162,212,89.92778462518966,,,
2025-08-01,-1,stop,68.32191586982488,-68.32191586982488,84.2573104711209,-68.32191586982488,17,41,152.57922634094578,,,
2025-08-04,1,time,65.2417585575924,-8.282594098020784,75.50137564220536,-27.791543393042257,211,374,83.78396974022614,24.22070892386422,-69.61385344424428,-100.17497088898946
2025-08-05,1,stop,47.6207938894501,-47.6207938894501,0.01746270402961409,-47.6207938894501,0,16,47.63825659347971,,,
2025-08-06,1,time,61.45056245781188,86.9447978014729,127.14724584339808,-36.28901287756551,271,372,40.20244804192518,-23.98839451978999,-40.60517291342579,191.95093060087427
2025-08-07,-1,stop,42.167705662188425,-42.167705662188425,9.040852437976897,-42.167705662188425,22,105,51.20855810016532,,,
2025-08-08,1,stop,48.41373665012072,-48.41373665012072,16.83287349112942,-48.41373665012072,2,30,65.24661014125013,,,
2025-08-11,1,stop,67.06599173856118,-67.06599173856118,44.017773402422065,-67.06599173856118,140,240,111.08376514098325,,,
2025-08-12,-1,stop,91.5458576700957,-91.5458576700957,0.0,-91.5458576700957,0,97,91.5458576700957,,,
2025-08-13,1,time,65.1861462476584,154.40958049347236,163.60249855404018,-48.91029581999351,366,371,9.19291806056782,49.96942589357846,-80.89933382373238,-399.70576042643273
2025-08-14,1,stop,88.49922762166408,-88.49922762166408,49.66973877271838,-88.49922762166408,55,141,138.16896639438247,,,
2025-08-15,-1,time,56.10324354833918,77.95889440113395,91.85314700153177,-36.28462423133888,150,374,13.89425260039782,-32.176610634153874,-55.16960409443339,-61.30616159601446
