symbol,policy,scenario,year,mean_bp,trades
BTCUSDT,CORE_LDN_R30_CLOSE,gross,2026,8.654869859662886,168
BTCUSDT,CORE_LDN_R30_CLOSE,db,2020,-28.247818558029287,239
BTCUSDT,CORE_LDN_R30_CLOSE,db,2021,-4.908097141255215,234
BTCUSDT,CORE_LDN_R30_CLOSE,db,2022,-14.07733577902604,221
BTCUSDT,CORE_LDN_R30_CLOSE,db,2023,-12.63389042318247,236
BTCUSDT,CORE_LDN_R30_CLOSE,db,2024,-4.50152899749129,240
BTCUSDT,CORE_LDN_R30_CLOSE,db,2025,-9.466807369554543,242
BTCUSDT,CORE_LDN_R30_CLOSE,db,2026,-2.8982806891754946,168
BTCUSDT,CORE_LDN_R30_STOP,gross,2020,-12.433850410828812,246
BTCUSDT,CORE_LDN_R30_STOP,gross,2021,-0.3991333767297696,244
BTCUSDT,CORE_LDN_R30_STOP,gross,2022,-0.32705992384209115,232
BTCUSDT,CORE_LDN_R30_STOP,gross,2023,-3.4397968291405343,241
BTCUSDT,CORE_LDN_R30_STOP,gross,2024,6.615506005067916,246
BTCUSDT,CORE_LDN_R30_STOP,gross,2025,1.2937951747337706,247
BTCUSDT,CORE_LDN_R30_STOP,gross,2026,9.332838168878071,171
BTCUSDT,CORE_LDN_R30_STOP,db,2020,-23.791980469702178,246
BTCUSDT,CORE_LDN_R30_STOP,db,2021,-11.979550026534104,244
BTCUSDT,CORE_LDN_R30_STOP,db,2022,-11.948978759889227,232
BTCUSDT,CORE_LDN_R30_STOP,db,2023,-14.989538458261567,241
BTCUSDT,CORE_LDN_R30_STOP,db,2024,-4.900644097987288,246
BTCUSDT,CORE_LDN_R30_STOP,db,2025,-10.288389384125626,247
BTCUSDT,CORE_LDN_R30_STOP,db,2026,-2.227721093409127,171
BTCUSDT,CORE_LDN_R60_CLOSE,gross,2020,-3.7390206938123245,182
BTCUSDT,CORE_LDN_R60_CLOSE,gross,2021,-11.45608743352847,196
BTCUSDT,CORE_LDN_R60_CLOSE,gross,2022,5.001096157597143,177
BTCUSDT,CORE_LDN_R60_CLOSE,gross,2023,0.19806333471894652,179
BTCUSDT,CORE_LDN_R60_CLOSE,gross,2024,2.245644453242975,190
BTCUSDT,CORE_LDN_R60_CLOSE,gross,2025,3.177591681467087,198
BTCUSDT,CORE_LDN_R60_CLOSE,gross,2026,7.88009068511292,138
BTCUSDT,CORE_LDN_R60_CLOSE,db,2020,-15.34637747505863,182
BTCUSDT,CORE_LDN_R60_CLOSE,db,2021,-23.062681512848823,196
BTCUSDT,CORE_LDN_R60_CLOSE,db,2022,-6.598494708281831,177
BTCUSDT,CORE_LDN_R60_CLOSE,db,2023,-11.406450792491126,179
BTCUSDT,CORE_LDN_R60_CLOSE,db,2024,-9.355436244328754,190
BTCUSDT,CORE_LDN_R60_CLOSE,db,2025,-8.425047042613029,198
BTCUSDT,CORE_LDN_R60_CLOSE,db,2026,-3.7178167265983015,138
BTCUSDT,CORE_LDN_R60_STOP,gross,2020,1.1925062344490487,202
BTCUSDT,CORE_LDN_R60_STOP,gross,2021,-8.730647567512465,216
BTCUSDT,CORE_LDN_R60_STOP,gross,2022,5.537413452666232,194
BTCUSDT,CORE_LDN_R60_STOP,gross,2023,-3.390025703328061,197
BTCUSDT,CORE_LDN_R60_STOP,gross,2024,3.3839419417522545,208
BTCUSDT,CORE_LDN_R60_STOP,gross,2025,2.91291807263454,212
BTCUSDT,CORE_LDN_R60_STOP,gross,2026,9.346334698844931,145
