arm,fill_mode,direction,filled,r,kind
d0.4,touch,long,True,2.8703452499594766,target
d0.4,through,long,True,2.8703452499594766,target
d0.6,touch,long,True,2.8306353064715823,target
d0.6,through,long,True,2.8306353064715823,target
d0.8,touch,long,True,2.75546787709038,target
d0.8,through,long,True,2.75546787709038,target
d1.0,touch,long,True,2.55904919658116,target
d1.0,through,long,True,2.55904919658116,target
d0.0,touch,long,True,-1.132418498800732,stop
d0.2,touch,long,True,2.848017849444168,target
d0.2,through,long,True,2.848017849444168,target
d0.4,touch,long,True,2.8216107486995265,target
d0.4,through,long,True,2.8216107486995265,target
d0.6,touch,long,True,2.7840082284741006,target
d0.6,through,long,True,2.7840082284741006,target
d0.8,touch,long,True,2.7261756117805938,target
d0.8,through,long,True,2.7261756117805938,target
d1.0,touch,long,False,,
d1.0,through,long,False,,
d0.0,touch,short,True,2.9275959137258942,target
d0.2,touch,short,True,2.9137151708700237,target
d0.2,through,short,True,2.9137151708700237,target
d0.4,touch,short,True,2.8933604965726007,target
d0.4,through,short,True,2.8933604965726007,target
d0.6,touch,short,True,2.8606253708391787,target
d0.6,through,short,True,2.8606253708391787,target
d0.8,touch,short,True,2.7992780734337366,target
d0.8,through,short,True,2.7992780734337366,target
d1.0,touch,short,True,2.6426854775889845,target
d1.0,through,short,True,2.6426854775889845,target
d0.0,touch,short,True,1.2291676391515718,tif
d0.2,touch,short,True,1.8617323946227522,tif
d0.2,through,short,True,1.8617323946227522,tif
d0.4,touch,short,True,2.3596971845653205,tif
d0.4,through,short,True,2.3596971845653205,tif
d0.6,touch,short,False,,
d0.6,through,short,False,,
d0.8,touch,short,False,,
d0.8,through,short,False,,
d1.0,touch,short,False,,
d1.0,through,short,False,,
d0.0,touch,short,True,2.9389962409656953,target
d0.2,touch,short,True,2.9297447979288274,target
d0.2,through,short,True,2.9297447979288274,target
d0.4,touch,short,True,2.917248409275975,target
d0.4,through,short,True,2.917248409275975,target
d0.6,touch,short,False,,
d0.6,through,short,False,,
d0.8,touch,short,False,,
d0.8,through,short,False,,
d1.0,touch,short,False,,
d1.0,through,short,False,,
d0.0,touch,short,True,2.926591461487959,target
d0.2,touch,short,True,2.914028919451735,target
d0.2,through,short,True,2.914028919451735,target
d0.4,touch,short,True,2.896362814649774,target
d0.4,through,short,True,2.896362814649774,target
d0.6,touch,short,False,,
d0.6,through,short,False,,
d0.8,touch,short,False,,
d0.8,through,short,False,,
d1.0,touch,short,False,,
d1.0,through,short,False,,
d0.0,touch,short,True,-1.045181649242974,stop
d0.2,touch,short,True,-1.0505167392156223,stop
d0.2,through,short,True,-1.0505167392156223,stop
d0.4,touch,short,True,-1.0572454929643489,stop
d0.4,through,short,True,-1.0572454929643489,stop
d0.6,touch,short,True,-1.0659960445920844,stop
d0.6,through,short,True,-1.0659960445920844,stop
d0.8,touch,short,True,-1.0778407368217404,stop
d0.8,through,short,True,-1.0778407368217404,stop
d1.0,touch,short,True,-1.0947731278295987,stop
d1.0,through,short,True,-1.0947731278295987,stop
d0.0,touch,short,True,2.774304647856181,target
d0.2,touch,short,True,2.74072656886222,target
d0.2,through,short,True,2.74072656886222,target
d0.4,touch,short,True,2.695471777883533,target
d0.4,through,short,True,2.695471777883533,target
d0.6,touch,short,True,2.631167511891781,target
d0.6,through,short,True,2.631167511891781,target
d0.8,touch,short,True,2.5325794318778763,target
d0.8,through,short,True,2.5325794318778763,target
d1.0,touch,short,True,2.362324550773958,target
d1.0,through,short,True,2.362324550773958,target
d0.0,touch,short,True,2.939509149142273,target
d0.2,touch,short,True,2.9288604184733993,target
d0.2,through,short,True,2.9288604184733993,target
d0.4,touch,short,True,2.913750997949855,target
d0.4,through,short,True,2.913750997949855,target
d0.6,touch,short,True,2.890635477336742,target
d0.6,through,short,True,2.890635477336742,target
d0.8,touch,short,True,2.850856981901664,target
