ts,dir,era,has_zone,in_zone,poc_dist_atr,side,shallow_of_poc,bid_depth
2026-02-06 12:14:00+00:00,short,2026,True,True,0.4063088392448225,in_zone,True,0.9713001879772163
2026-02-06 13:59:00+00:00,long,2026,True,False,-3.7237116323179165,below_zone,False,1.1414077303595596
2026-02-06 18:27:00+00:00,long,2026,True,True,-0.7191914773379746,in_zone,False,1.0603988971699396
2026-02-06 19:50:00+00:00,long,2026,True,True,-0.06307112644663844,in_zone,False,1.0047039982675068
2026-02-06 20:03:00+00:00,long,2026,True,True,-0.06770458028437963,in_zone,False,1.005264931577988
2026-02-08 15:42:00+00:00,long,2026,True,False,-12.748474463325246,below_zone,False,2.8043004204355495
2026-02-09 10:32:00+00:00,short,2026,True,False,0.7691783503167969,above_zone,True,0.8925513830983518
2026-02-09 12:31:00+00:00,short,2026,True,False,-1.9494061579450959,below_zone,False,1.7792361202257514
2026-02-09 12:43:00+00:00,short,2026,True,True,-0.6194626339193485,in_zone,False,1.247617797611232
2026-02-10 10:38:00+00:00,short,2026,True,True,0.022724028141517274,in_zone,True,0.9923450126937324
2026-02-10 11:24:00+00:00,long,2026,True,False,1.2152133585751321,above_zone,True,0.9203827643043557
2026-02-10 18:16:00+00:00,long,2026,True,True,0.08147833330912072,in_zone,True,0.9879758892375885
2026-02-10 19:58:00+00:00,long,2026,True,True,1.4644958129687118,in_zone,True,0.8348758000542853
2026-02-12 21:47:00+00:00,long,2026,True,False,-3.1107184810126363,below_zone,False,1.495786195532498
2026-02-12 21:51:00+00:00,long,2026,True,False,-2.9292501265822564,below_zone,False,1.4668637759687408
2026-02-13 00:46:00+00:00,long,2026,True,False,-4.298436275607231,below_zone,False,1.495786195532498
2026-02-15 15:02:00+00:00,short,2026,True,False,0.30114458779106756,above_zone,True,0.95729996436226
2026-02-15 17:30:00+00:00,short,2026,True,False,-1.1034115794395096,below_zone,False,1.8917696189316549
2026-02-18 21:46:00+00:00,long,2026,True,False,-4.145462467438425,below_zone,False,1.7708709565766458
2026-02-19 17:23:00+00:00,short,2026,True,True,-0.07329702165589787,in_zone,False,1.0460704013085558
2026-02-20 12:18:00+00:00,long,2026,True,True,0.05448956818552408,in_zone,True,0.9914109253653292
2026-02-25 11:04:00+00:00,long,2026,True,False,1.4753907418243384,above_zone,True,0.8365032626421216
2026-03-01 00:41:00+00:00,short,2026,True,False,-4.461506355249585,below_zone,False,1.5596051538248032
2026-03-03 18:38:00+00:00,short,2026,True,True,0.5673401495663726,in_zone,True,0.8892580000519095
2026-03-04 13:36:00+00:00,short,2026,True,False,-7.6593937439649045,below_zone,False,1.7124477331278907
2026-03-05 19:08:00+00:00,short,2026,True,True,-0.22136475289314833,in_zone,False,1.0232337947260477
2026-03-06 15:57:00+00:00,short,2026,True,False,2.1468591275235176,above_zone,True,0.6289319607687823
2026-03-10 14:10:00+00:00,short,2026,True,False,-5.018353753919543,below_zone,False,1.4899076622440635
2026-03-13 08:44:00+00:00,short,2026,True,False,-4.654153853180393,below_zone,False,1.732345654169773
2026-03-13 18:28:00+00:00,short,2026,True,False,-2.9556337195554656,below_zone,False,2.1529459241323647
2026-03-18 09:22:00+00:00,short,2026,True,True,-0.7214811658801462,in_zone,False,1.1137269083566972
2026-03-18 22:08:00+00:00,short,2026,True,False,8.459714667904867,above_zone,True,0.255761492604681
2026-03-19 09:18:00+00:00,short,2026,True,False,0.9729895873244965,above_zone,True,0.8231631480513731
2026-03-22 09:48:00+00:00,short,2026,True,True,-0.122258747284105,in_zone,False,1.0108198522735445
2026-03-23 08:46:00+00:00,short,2026,True,False,-1.4235696529947326,below_zone,False,1.3601284653018462
2026-03-25 14:20:00+00:00,short,2026,True,False,-3.844103581052321,below_zone,False,1.7685068688491432
