variant,n,traded_n,mean_r,total_r,max_dd_r,mar_like,wr_pct,is_total_r,oos_total_r,scope
wick_p0.5|tilt=half_after_loss|H=on,143,143,0.2518884770045889,36.02005221165621,-1.9109758846983196,18.849035458834475,81.11888111888112,24.02922864481573,11.990823566840472,ETH
wick_p0.5|tilt=half_after_2stops_7d|H=off,143,143,0.4249503492820348,60.767899947330974,-3.1245169686793304,19.448734174427074,81.11888111888112,44.53235798576201,16.235541961568956,ETH
wick_p0.5|tilt=half_after_2stops_7d|H=on,143,143,0.2744463497869333,39.24582801953146,-2.0,19.62291400976573,81.11888111888112,25.857852215722865,13.387975803808592,ETH
wick_p1|tilt=none|H=off,143,143,0.6901570509755897,98.69245828950932,-3.1019666733703843,31.816092396078794,75.52447552447552,74.52350212992069,24.168956159588635,ETH
wick_p1|tilt=none|H=on,143,143,0.44763519082087694,64.0118322873854,-2.5,25.604732914954162,75.52447552447552,45.98597217981092,18.025860107574495,ETH
wick_p1|tilt=skip_after_loss|H=off,143,108,0.7950047833786482,85.860516604894,-2.549053471540759,33.683293647424414,78.70370370370371,68.18020716740511,17.680309437488912,ETH
wick_p1|tilt=skip_after_loss|H=on,143,108,0.5115133602731551,55.24344290950074,-2.0,27.62172145475037,78.70370370370371,41.996190244265,13.24725266523574,ETH
wick_p1|tilt=half_after_loss|H=off,143,143,0.6452901220084033,92.27648744720167,-2.550983336685192,36.17290874471486,75.52447552447552,71.35185464866291,20.92463279853877,ETH
wick_p1|tilt=half_after_loss|H=on,143,143,0.4169764867023991,59.62763759844307,-2.188177196865178,27.249912705363485,75.52447552447552,43.99108121203796,15.636556386405115,ETH
wick_p1|tilt=half_after_2stops_7d|H=off,143,143,0.6915573764839964,98.89270483721148,-3.0,32.96423494573716,75.52447552447552,74.72374867762285,24.168956159588635,ETH
wick_p1|tilt=half_after_2stops_7d|H=on,143,143,0.4483353535750804,64.1119555612365,-2.5,25.644782224494598,75.52447552447552,46.086095453662004,18.025860107574495,ETH
wick_p2|tilt=none|H=off,143,143,0.9358661590854643,133.8288607492214,-4.0,33.45721518730535,62.93706293706294,106.8539688927436,26.974891856477832,ETH
wick_p2|tilt=none|H=on,143,143,0.643751140874212,92.05641314501233,-4.0,23.014103286253082,62.93706293706294,69.76037178505199,22.296041359960313,ETH
wick_p2|tilt=skip_after_loss|H=off,143,90,1.1034278863082145,99.30850976773931,-2.6689303957840878,37.209104412992424,66.66666666666666,83.73024219486958,15.578267572869743,ETH
wick_p2|tilt=skip_after_loss|H=on,143,90,0.7614085314857222,68.52676783371501,-2.0,34.26338391685751,66.66666666666666,53.79336487977646,14.733402953938548,ETH
wick_p2|tilt=half_after_loss|H=off,143,143,0.8151656311781843,116.56868525848036,-2.5,46.627474103392146,62.93706293706294,95.29210554380657,21.27657971467379,ETH
wick_p2|tilt=half_after_loss|H=on,143,143,0.5614796537717739,80.29159048936367,-2.5,32.11663619574547,62.93706293706294,61.776868332414224,18.514722156949432,ETH
wick_p2|tilt=half_after_2stops_7d|H=off,143,143,0.9386407423051751,134.22562614964005,-4.0,33.55640653741001,62.93706293706294,106.25073429316224,27.974891856477832,ETH
wick_p2|tilt=half_after_2stops_7d|H=on,143,143,0.648634935980571,92.75479584522165,-4.0,23.188698961305413,62.93706293706294,69.45875448526132,23.296041359960313,ETH
wick_p3|tilt=none|H=off,143,143,1.259034838482928,180.04198190305868,-4.0,45.01049547576467,61.53846153846154,147.15904237583712,32.88293952722154,ETH
