expiry,call_inst,call_mark,entry,expiry_ts,hedge_costs_pct,hedge_pnl_pct,iv_call,iv_put,n_calls,n_puts,n_rebal,n_skip,naked_pnl_pct,pnl_pct,put_inst,put_mark,raw_premium_pct,split,spot_entry,spot_expiry,status,strike_call,strike_put,terminal
2025-06-13,BTC-13JUN25-118000-C,1408.38410077,2025-05-23,1749801600,0.015654627864567894,-0.33332203679186684,0.46695459443144494,0.4428767351899296,17,17,3,0,1.9569275435600324,1.4892430525967966,BTC-13JUN25-95000-P,690.84142912,1.9569275435600324,TRAIN,107271.5,104831.4,ok,118000.0,95000.0,0.0
2025-06-20,BTC-20JUN25-114000-C,1064.269428,2025-05-30,1750406400,0.0029672096908837865,0.027159301855383164,0.4162375247571617,0.4224933420540765,15,18,3,0,2.036567115921116,1.9396621946079817,BTC-20JUN25-95000-P,1052.742089,2.036567115921116,TRAIN,103950.0,105763.5,ok,114000.0,95000.0,0.0
2025-06-22,,,2025-06-01,1750579200,,,,,5,6,,,,,,,,,105583.3,,no_pair,,,
2025-06-23,,,2025-06-02,1750665600,,,,,7,7,,,,,,,,,105814.3,,no_pair,,,
2025-06-24,,,2025-06-03,1750752000,,,,,5,5,,,,,,,,,105330.1,,no_pair,,,
2025-06-27,BTC-27JUN25-115000-C,837.16432,2025-06-06,1751011200,0.009749026346710592,-0.24481834418300552,0.3972615028265865,0.370332221337594,41,33,3,0,1.4656900537221795,1.107151981580798,BTC-27JUN25-95000-P,690.670992,1.4656900537221795,TRAIN,104240.0,106816.9,ok,115000.0,95000.0,0.0
2025-07-04,BTC-4JUL25-117000-C,797.7558,2025-06-13,1751616000,0.012899160172681588,-0.352427410781355,0.38932621092535563,0.40572445606812824,18,17,3,0,1.364041489078756,0.8977936734523567,BTC-4JUL25-95000-P,648.50056175,1.364041489078756,TRAIN,106027.3,108661.0,ok,117000.0,95000.0,0.0
2025-07-11,BTC-11JUL25-114000-C,671.77866145,2025-06-20,1752220800,0.014626447966464867,0.977571233908123,0.373000901332125,0.4016217357479035,14,23,3,0,-1.9399332638133517,-1.0811488256962603,BTC-11JUL25-94000-P,848.01590106,1.4720115941522247,TRAIN,103246.1,117522.7,ok,114000.0,94000.0,3522.699999999997
2025-07-18,,,2025-06-27,1752825600,,,,,12,10,,,,,,,,,107010.7,,no_pair,,,
2025-07-25,BTC-25JUL25-118000-C,855.641732,2025-07-04,1753430400,0.05240779085716336,-0.7510838017915195,0.37159558851271873,0.3916307917330415,34,33,3,0,1.5150688319124217,0.6061251743063661,BTC-25JUL25-98000-P,779.653872,1.5150688319124217,TRAIN,107935.4,115288.8,ok,118000.0,98000.0,0.0
