expiry,call_inst,call_mark,entry,expiry_ts,hedge_costs,hedge_pnl,n_calls,n_puts,n_rebal,n_skip,pnl_pct,put_inst,put_mark,split,spot_entry,status,strike_call,strike_put,terminal
2025-11-14,BTC-14NOV25-108000-C,6169.87214482,2025-10-24,1763107200,55.96616250992037,-3055.7342327404203,29,18,3,0,0.8511488060984461,BTC-14NOV25-100000-P,946.75433805,TEST,110965.3,ok,108000.0,100000.0,2780.3682870000002
2025-11-15,,,2025-10-25,1763193600,,,6,6,,,,,,,111589.4,no_pair,,,
2025-11-17,,,2025-10-27,1763366400,,,5,5,,,,,,,114064.1,no_pair,,,
2025-11-18,,,2025-10-28,1763452800,,,5,6,,,,,,,112833.5,no_pair,,,
2025-11-19,,,2025-10-29,1763539200,,,8,7,,,,,,,109985.6,no_pair,,,
2025-11-20,,,2025-10-30,1763625600,,,6,5,,,,,,,108263.5,no_pair,,,
2025-11-21,,,2025-10-31,1763712000,,,32,23,,,,,,,109557.3,no_pair,,,
2025-11-22,,,2025-11-01,1763798400,,,7,7,,,,,,,110047.2,no_pair,,,
2025-11-23,,,2025-11-02,1763884800,,,6,6,,,,,,,110494.9,no_pair,,,
2025-11-24,,,2025-11-03,1763971200,,,5,7,,,,,,,106544.0,no_pair,,,
2025-11-28,BTC-28NOV25-95000-C,9780.828435,2025-11-07,1764316800,131.16040112046903,-9830.51157465157,53,45,3,0,-3.149660330672646,BTC-28NOV25-95000-P,1263.74737,TEST,103305.2,ok,95000.0,95000.0,3943.346339
2025-12-05,BTC-5DEC25-96000-C,3610.837584,2025-11-14,1764921600,62.02463992669974,-4661.534750920924,25,22,3,0,0.4474687554562705,BTC-5DEC25-88000-P,1772.4973585,TEST,94544.9,ok,96000.0,88000.0,18.489676
2025-12-11,,,2025-11-20,1765440000,,,7,7,,,,,,,86601.3,no_pair,,,
2025-12-12,BTC-12DEC25-94000-C,1475.32779509,2025-11-21,1765526400,49.78844148185118,-2184.9428581322686,14,18,3,0,5.712848246143808,BTC-12DEC25-88000-P,5911.77698836,TEST,85093.5,ok,94000.0,88000.0,18.441718
2025-12-19,BTC-19DEC25-92000-C,3558.24573,2025-11-28,1766131200,37.77348086531585,-998.70244620658,17,16,3,0,3.456246707050808,BTC-19DEC25-80000-P,821.29887,TEST,90847.8,ok,92000.0,80000.0,17.249558999999998
2025-12-26,BTC-26DEC25-90000-C,3704.379678,2025-12-05,1766736000,37.780156158544095,-840.9998911592068,58,42,3,0,4.2298873475780745,BTC_USDC-26DEC25-80000-P,1159.62,TEST,89288.5,ok,90000.0,80000.0,8.923576
2026-01-02,BTC-2JAN26-91000-C,3249.4165564,2025-12-12,1767340800,31.673358263876704,-839.7295627524146,13,11,3,0,4.433372363698508,BTC-2JAN26-86000-P,1846.9459872,TEST,90229.6,ok,91000.0,86000.0,17.716836
2026-01-09,BTC-9JAN26-92000-C,2014.463733,2025-12-19,1767945600,27.345446114539303,-472.6154106689172,11,13,3,0,4.709074434212876,BTC-9JAN26-87000-P,2851.2165395,TEST,88100.0,ok,92000.0,87000.0,18.194431
2026-01-16,BTC-16JAN26-95000-C,805.98804964,2025-12-26,1768550400,36.13510595019336,-2065.26961130934,13,16,3,0,2.0445728578174616,BTC-16JAN26-89000-P,3816.31604355,TEST,87318.2,ok,95000.0,89000.0,544.555116
2026-01-23,BTC-23JAN26-92000-C,2604.7918245,2026-01-02,1769155200,70.21000425179065,-3270.1618566866023,14,15,3,0,0.6475451323565911,BTC-23JAN26-85000-P,1513.510488,TEST,89951.4,ok,92000.0,85000.0,17.93463
2026-01-30,BTC-30JAN26-86000-C,6220.35485,2026-01-09,1769760000,75.29675637059779,-5926.95816811531,38,25,3,0,0.6960386701566946,BTC-30JAN26-82000-P,699.295982,TEST,90603.6,ok,86000.0,82000.0,24.808130000000002
2026-02-01,,,2026-01-11,1769932800,,,6,7,,,,,,,90964.4,no_pair,,,
2026-02-02,,,2026-01-12,1770019200,,,10,7,,,,,,,91252.6,no_pair,,,
2026-02-03,,,2026-01-13,1770105600,,,10,5,,,,,,,95375.2,no_pair,,,
2026-02-04,,,2026-01-14,1770192000,,,6,7,,,,,,,96908.0,no_pair,,,
2026-02-05,,,2026-01-15,1770278400,,,7,5,,,,,,,95567.3,no_pair,,,
2026-02-06,,,2026-01-16,1770364800,,,41,29,,,,,,,95503.7,no_pair,,,
2026-02-07,,,2026-01-17,1770451200,,,15,15,,,,,,,95107.9,no_pair,,,
2026-02-08,,,2026-01-18,1770537600,,,9,11,,,,,,,93614.0,no_pair,,,
2026-02-09,,,2026-01-19,1770624000,,,8,8,,,,,,,92589.6,no_pair,,,
2026-02-11,,,2026-01-21,1770796800,,,5,5,,,,,,,89411.4,no_pair,,,
2026-02-13,,,2026-01-23,1770969600,,,34,27,,,,,,,89558.7,no_pair,,,
2026-02-20,,,2026-01-30,1771574400,,,32,22,,,,,,,84211.4,no_pair,,,
2026-02-27,BTC_USDC-27FEB26-76000-C,1560.1,2026-02-06,1772179200,14.573405768108076,283.9770497464509,44,37,3,0,4.5701913993413275,BTC-27FEB26-64000-P,1536.463509,TEST,70544.5,ok,76000.0,64000.0,6.724876
2026-02-28,,,2026-02-07,1772265600,,,5,7,,,,,,,69254.3,no_pair,,,
2026-03-01,,,2026-02-08,1772352000,,,7,8,,,,,,,70288.1,no_pair,,,
2026-03-06,BTC-6MAR26-74000-C,1232.36743075,2026-02-13,1772784000,31.491917380497718,-606.9619062342015,14,18,3,0,3.6429892663815826,BTC-6MAR26-66000-P,2067.727275,TEST,68821.5,ok,74000.0,66000.0,14.185283
2026-03-13,BTC-13MAR26-74000-C,953.3454462,2026-02-20,1773388800,35.21773630622544,-1598.2728305569176,14,16,3,0,3.1494186731267555,BTC-13MAR26-68000-P,3002.082363,TEST,67979.3,ok,74000.0,68000.0,21.53406
2026-03-20,BTC-20MAR26-72000-C,897.225796,2026-02-27,1773993600,35.57980172338989,-829.7459899741365,13,17,3,0,4.489131576982916,BTC-20MAR26-66000-P,3096.99168,TEST,65836.0,ok,72000.0,66000.0,14.098894999999999
2026-03-27,BTC-27MAR26-72000-C,2023.04456,2026-03-06,1774598400,25.538417423852238,-1046.4667276281195,68,51,3,0,2.6134468224784864,BTC_USDC-27MAR26-60000-P,965.68,TEST,68083.0,ok,72000.0,60000.0,6.894877999999999
2026-04-03,BTC-3APR26-69000-C,4593.65551875,2026-03-13,1775203200,29.738888554586246,-1880.1233833579638,18,13,3,0,5.115985544780626,BTC-3APR26-64000-P,1172.0630625,TEST,70895.5,ok,69000.0,64000.0,13.34392
2026-04-10,,,2026-03-20,1775808000,,,14,13,,,,,,,70472.7,no_pair,,,
2026-04-17,,,2026-03-27,1776412800,,,11,14,,,,,,,66364.2,no_pair,,,
2026-04-24,,,2026-04-03,1777017600,,,34,28,,,,,,,66930.0,no_pair,,,
2026-05-29,,,2026-05-08,1780041600,,,26,23,,,,,,,,no_spot,,,
2026-06-26,,,2026-06-05,1782460800,,,46,26,,,,,,,,no_spot,,,
2026-09-25,,,2026-09-04,1790323200,,,35,21,,,,,,,,no_spot,,,
2026-12-25,,,2026-12-04,1798185600,,,22,13,,,,,,,,no_spot,,,
