exit_reason,r,exit_time,dodged,position_id,signal_time,his_r
wick,0.4,2026-07-31 13:45:00+00:00,True,ARKMUSDT-2026-07-31-long,2026-07-31 13:37:44+00:00,
wick,0.605,2026-08-01 06:30:00+00:00,False,UNIUSDT-2026-07-31-short,2026-07-31 15:30:38+00:00,0.76
wick,0.472,2026-08-03 15:30:00+00:00,False,HYPEUSDT-2026-08-01-long,2026-08-01 08:27:43+00:00,0.421
wick,0.501,2026-08-01 08:30:00+00:00,False,BTCUSDT-2026-08-01-long,2026-08-01 08:27:43+00:00,1.787
target,0.574,2026-08-02 19:45:00+00:00,False,ZECUSDT-2026-08-02-long,2026-08-02 11:07:13+00:00,0.702
wick,0.464,2026-08-02 19:00:00+00:00,True,ETHUSDT-2026-08-02-long,2026-08-02 17:03:22+00:00,
wick,0.331,2026-08-03 15:15:00+00:00,False,ZECUSDT-2026-08-03-long,2026-08-03 12:32:50+00:00,0.0
target,0.41,2026-08-05 16:15:00+00:00,False,ETHUSDT-2026-08-04-long,2026-08-04 14:35:14+00:00,0.246
wick,0.52,2026-08-05 17:00:00+00:00,False,ETHUSDT-2026-08-05-long,2026-08-05 13:51:42+00:00,0.451
wick,0.238,2026-08-05 21:00:00+00:00,False,ETHUSDT-2026-08-05-short,2026-08-05 18:23:48+00:00,0.933
wick,0.384,2026-08-06 09:45:00+00:00,False,BTCUSDT-2026-08-06-short,2026-08-06 09:27:31+00:00,0.988
stop,-1.0,2026-08-07 07:45:00+00:00,False,TRADOORUSDT-2026-08-06-long,2026-08-06 20:32:13+00:00,
wick,0.171,2026-08-08 12:15:00+00:00,True,THETAUSDT-2026-08-07-short,2026-08-07 13:18:24+00:00,
wick,0.302,2026-08-07 16:30:00+00:00,False,ETHUSDT-2026-08-07-short,2026-08-07 16:26:33+00:00,0.568
wick,0.485,2026-08-10 15:30:00+00:00,False,GRTUSDT-2026-08-10-short,2026-08-10 13:34:31+00:00,0.424
wick,0.398,2026-08-11 11:30:00+00:00,False,BTCUSDT-2026-08-10-long,2026-08-10 16:23:17+00:00,0.268
wick,0.381,2026-08-11 10:00:00+00:00,False,ETHUSDT-2026-08-10-long,2026-08-10 19:00:57+00:00,0.567
wick,0.359,2026-08-13 16:30:00+00:00,False,HYPEUSDT-2026-08-13-short,2026-08-13 15:29:53+00:00,0.859
wick,0.279,2026-08-14 20:00:00+00:00,False,ZECUSDT-2026-08-14-long,2026-08-14 16:08:35+00:00,0.571
wick,0.238,2026-08-15 00:15:00+00:00,True,ENSUSDT-2026-08-14-long,2026-08-14 16:21:01+00:00,
wick,0.33,2026-08-17 15:45:00+00:00,False,SOLUSDT-2026-08-16-long,2026-08-16 01:38:20+00:00,0.13
wick,0.268,2026-08-17 19:45:00+00:00,True,WLDUSDT-2026-08-17-short,2026-08-17 14:18:33+00:00,0.351
wick,0.129,2026-08-17 17:30:00+00:00,True,BTCUSDT-2026-08-17-short,2026-08-17 15:56:16+00:00,
wick,-0.109,2026-08-18 17:15:00+00:00,True,ZECUSDT-2026-08-18-short,2026-08-18 13:32:08+00:00,
stop,-1.0,2026-08-19 15:30:00+00:00,False,HYPEUSDT-2026-08-19-short,2026-08-19 15:05:47+00:00,
wick,0.782,2026-08-20 01:45:00+00:00,False,BTCUSDT-2026-08-20-long,2026-08-20 01:34:21+00:00,2.544
wick,0.257,2026-08-20 11:00:00+00:00,True,BTCUSDT-2026-08-20-short,2026-08-20 10:19:46+00:00,
stop,-1.0,2026-08-20 17:00:00+00:00,False,ARBUSDT-2026-08-20-short,2026-08-20 15:09:34+00:00,
wick,0.169,2026-08-21 15:15:00+00:00,False,BTCUSDT-2026-08-21-long,2026-08-21 14:58:07+00:00,
