symbol,time_utc,price,field,inside_bar,dist_to_range_pct,dist_to_close_pct
BTCUSDT,2026-07-27 02:40:00+00:00,65555.0,price_ref,False,0.45854625886659833,0.5215467927694325
BTCUSDT,2026-07-27 03:16:35+00:00,66500.0,price_ref,False,1.781203007518797,1.8184962406015082
BTCUSDT,2026-07-27 06:24:31+00:00,66000.0,price_ref,False,0.581515151515156,0.8110606060606105
BTCUSDT,2026-07-27 08:50:11+00:00,65200.0,entry_price,False,0.030674846625766874,0.10276073619631901
BTCUSDT,2026-07-27 15:43:56+00:00,64500.0,price_ref,True,0.0,0.07193798449612629
BTCUSDT,2026-07-27 15:44:26+00:00,65213.3,entry_price,False,0.8334189498154516,1.0226441538765887
BTCUSDT,2026-07-27 15:44:26+00:00,64551.1,price_ref,True,0.0,0.007281053305051487
BTCUSDT,2026-07-27 16:23:53+00:00,63500.0,entry_price,False,1.541732283464567,1.8924409448818853
BTCUSDT,2026-07-28 02:08:21+00:00,63100.0,entry_price,False,0.03312202852615128,0.2126782884310572
BTCUSDT,2026-07-28 17:06:58+00:00,63939.0,price_ref,True,0.0,0.24413894493188595
BTCUSDT,2026-07-28 17:06:58+00:00,63182.1,entry_price,False,0.929535422216107,0.9509022333857262
BTCUSDT,2026-07-28 17:06:58+00:00,63100.0,entry_price,False,1.0608557844690991,1.0822503961965158
BTCUSDT,2026-07-28 17:10:41+00:00,64100.0,price_ref,False,0.12480499219968799,0.494695787831511
BTCUSDT,2026-07-29 07:42:18+00:00,64160.0,entry_price,False,0.3926122194513738,0.4809850374064816
BTCUSDT,2026-07-29 07:45:11+00:00,64160.0,entry_price,False,0.41864089775560875,0.5907107231920199
BTCUSDT,2026-07-29 07:49:13+00:00,63700.0,entry_price,False,1.1437990580847701,1.3171114599686027
BTCUSDT,2026-07-29 08:07:06+00:00,66000.0,price_ref,False,2.1869696969696992,2.511818181818186
BTCUSDT,2026-07-29 10:12:16+00:00,64652.4,card_mark_price,True,0.0,0.027377173933225005
BTCUSDT,2026-07-29 10:12:16+00:00,64652.4,price_ref,True,0.0,0.027377173933225005
BTCUSDT,2026-07-29 10:12:16+00:00,63182.1,entry_price,False,2.229745450056271,2.2990688818510283
BTCUSDT,2026-07-29 13:27:22+00:00,64100.0,entry_price,False,0.021216848673944688,0.12121684867394242
BTCUSDT,2026-07-29 13:32:39+00:00,63700.0,entry_price,False,0.6510204081632607,1.1686028257456853
BTCUSDT,2026-07-30 09:40:20+00:00,63812.5,entry_price,False,1.0298922624877525,1.1898922624877617
BTCUSDT,2026-07-30 09:40:20+00:00,64578.7,price_ref,True,0.0,0.010684637504307426
BTCUSDT,2026-07-30 09:40:20+00:00,64578.7,card_mark_price,True,0.0,0.010684637504307426
BTCUSDT,2026-07-30 11:39:57+00:00,67000.0,price_ref,False,3.4391044776119357,3.5249253731343235
BTCUSDT,2026-07-30 11:56:43+00:00,64800.0,price_ref,True,0.0,0.05123456790123008
BTCUSDT,2026-07-30 11:56:43+00:00,63812.5,entry_price,False,1.2710675808031318,1.4954750244858028
BTCUSDT,2026-07-30 13:58:50+00:00,65200.0,entry_price,False,0.06595092024539878,0.31303680981594867
BTCUSDT,2026-07-30 14:04:20+00:00,65000.0,entry_price,True,0.0,0.45984615384615607
BTCUSDT,2026-07-31 05:17:01+00:00,64200.0,price_ref,False,0.15700934579439704,0.15700934579439704
BTCUSDT,2026-07-31 07:23:26+00:00,63969.0,entry_price,True,0.0,0.00046897716081681807
BTCUSDT,2026-07-31 14:08:19+00:00,62200.0,entry_price,False,0.3384244372990354,0.7549839228295796
BTCUSDT,2026-07-31 14:22:19+00:00,63500.0,price_ref,False,1.2078740157480314,1.3795275590551181
BTCUSDT,2026-08-01 08:27:43+00:00,63000.0,entry_price,False,0.09825396825397056,0.09841269841269842
BTCUSDT,2026-08-02 07:10:06+00:00,63500.0,price_ref,False,0.051811023622049535,0.0625196850393655
BTCUSDT,2026-08-02 07:10:06+00:00,62500.0,entry_price,False,1.5217599999999978,1.5364800000000047
BTCUSDT,2026-08-02 22:12:44+00:00,64000.0,price_ref,False,0.3453125,0.5078125
BTCUSDT,2026-08-03 08:25:55+00:00,61800.0,entry_price,False,0.797572815533983,0.8203883495145632
BTCUSDT,2026-08-03 13:56:57+00:00,63220.0,price_ref,True,0.0,0.15438152483391102
BTCUSDT,2026-08-03 13:56:57+00:00,63220.0,card_mark_price,True,0.0,0.15438152483391102
BTCUSDT,2026-08-03 13:56:57+00:00,62512.3,entry_price,False,0.4258361954367334,1.2882264770293135
BTCUSDT,2026-08-03 14:51:18+00:00,64000.0,price_ref,False,0.06812499999999773,0.11265624999999772
BTCUSDT,2026-08-04 11:44:56+00:00,64500.0,price_ref,False,0.9834108527131828,1.0069767441860464
BTCUSDT,2026-08-04 14:40:44+00:00,64400.0,price_ref,False,0.35916149068323433,0.4680124223602507
BTCUSDT,2026-08-05 00:18:55+00:00,64500.0,price_ref,False,0.7125581395348815,0.7125581395348815
BTCUSDT,2026-08-05 12:38:28+00:00,64500.0,price_ref,True,0.0,0.09007751937984271
BTCUSDT,2026-08-06 09:27:31+00:00,64823.0,entry_price,False,0.00802184409854078,0.18990173240979055
BTCUSDT,2026-08-06 09:27:31+00:00,64774.6,price_ref,True,0.0,0.11532298153905558
BTCUSDT,2026-08-06 09:27:31+00:00,64774.6,card_mark_price,True,0.0,0.11532298153905558
BTCUSDT,2026-08-06 15:12:03+00:00,64800.0,entry_price,True,0.0,0.036111111111113356
BTCUSDT,2026-08-07 09:11:09+00:00,65300.0,entry_price,False,0.8483920367534457,0.9186830015313958
