ts,sleeve,r_outcome,exit_kind,cum_R
2024-02-29 23:00:00+00:00,OI_FLUSH_bull,1.4100000000000028,target,25.365542407109857
2024-03-05 16:00:00+00:00,OI_FLUSH_bull,-1.09,stop,24.275542407109857
2024-03-11 00:00:00+00:00,OI_FLUSH_bull,1.409999999999995,target,25.685542407109853
2024-03-15 02:00:00+00:00,OI_FLUSH_bull,-1.0899999999999996,stop,24.595542407109853
2024-03-16 23:00:00+00:00,OI_FLUSH_bull,1.4099999999999948,target,26.00554240710985
2024-03-19 10:00:00+00:00,OI_FLUSH_bull,1.41,target,27.41554240710985
2024-03-20 16:00:00+00:00,OI_FLUSH_bull,1.41,target,28.82554240710985
2024-03-22 21:00:00+00:00,OI_FLUSH_bull,1.41,target,30.23554240710985
2024-06-04 20:00:00+00:00,OI_FLUSH_bull,0.1395424057236507,tif,30.3750848128335
2024-06-05 21:00:00+00:00,OI_FLUSH_bull,-1.0900000000000003,stop,29.2850848128335
2024-06-07 18:00:00+00:00,OI_FLUSH_bull,0.3295182586198184,tif,29.614603071453317
2024-07-27 20:00:00+00:00,OI_FLUSH_bull,1.4099999999999897,target,31.024603071453306
2024-09-27 18:00:00+00:00,OI_FLUSH_bull,-0.1569764898851803,tif,30.867626581568125
2024-10-07 20:00:00+00:00,OI_FLUSH_bull,-1.09,stop,29.777626581568125
2024-10-15 17:00:00+00:00,OI_FLUSH_bull,0.2633759380933268,tif,30.04100251966145
2024-10-17 19:00:00+00:00,OI_FLUSH_bull,1.4100000000000026,target,31.451002519661454
2024-10-18 22:00:00+00:00,OI_FLUSH_bull,0.6046532306911521,tif,32.05565575035261
2024-10-29 20:00:00+00:00,OI_FLUSH_bull,-1.09,stop,30.965655750352607
2024-11-01 15:00:00+00:00,OI_FLUSH_bull,-1.0900000000000003,stop,29.875655750352607
2024-11-13 19:00:00+00:00,OI_FLUSH_bull,-1.09,stop,28.785655750352607
