fid,entry_pct_of_top,P0_pct_of_top,time_stop_rel_min,spike_rel_min,entry_rel_min,top_runup_pct,lags_from,lag_step
BTC:1731524400,-2.3763484026926296,0.20905719748656182,-3540,-2,-6420,2.4341933166923013,-1440,5
BTC:1731938400,-2.516720604099243,-0.9038834951456298,2825,-13,-55,2.5816946451691525,-1440,5
BTC:1732053600,-6.685365236710283,-4.821874279375315,711,-1547,-2169,7.164326639298313,-1440,5
BTC:1732201200,-2.866856343733426,-1.5306778543987432,1942,-748,-938,2.9514707707583465,-1440,5
BTC:1732644000,-5.190745501285344,-4.022313624678664,1351,-394,-1529,5.474935467777264,-1440,5
BTC:1734033600,-2.577213117948518,-1.1576609053177145,1173,-25,-1707,2.6453904681136953,-1440,5
BTC:1734321600,-2.9047013741336336,-2.1728198038542534,2077,-132,-803,2.9915983731881868,-1440,5
BTC:1745856000,-4.279244758617439,-2.641076417201582,-2757,-1747,-5637,4.47055055909904,-1440,5
BTC:1746406800,-3.9099283520982575,-2.126407369498462,52,-158,-2828,4.069024286322964,-1440,5
BTC:1746590400,-7.5166949306813,-6.700391863796185,-169,-1763,-3049,8.127623601954248,-1440,5
BTC:1747598400,-2.905027620028322,-1.2370897256482105,2692,-18,-188,2.991944432158422,-1440,5
BTC:1747746000,-4.925767866802911,-4.158310884283112,1273,-1270,-1607,5.18097044412833,-1440,5
BTC:1747857600,-3.3646988419919754,-2.5532447000924496,1646,-1088,-1234,3.4818526994502497,-1440,5
BTC:1748001600,-2.076693766937665,0.17163504968382703,-2897,0,-5777,2.120734937191582,-1440,5
BTC:1749157200,-8.282965940556842,-6.7350723338418295,-2850,-5084,-5730,9.03100064835125,-1440,5
BTC:1753452000,-4.0710446365973425,-2.950038393483123,-695,-3230,-3575,4.243812122393309,-1440,5
BTC:1759662000,-2.214827052060675,-1.201266158776948,1022,-8,-1858,2.2649927236308542,-1440,5
BTC:1776798000,-5.6082271788933,-4.587004682543682,1675,-835,-1205,5.941436431670932,-1440,5
BTC:1776938400,-2.6330627399156814,-1.621043357875529,-2281,-186,-5161,2.7042678079544746,-1440,5
BTC:1777485600,-6.3532538695771805,-5.025300843030534,-3439,-4380,-6319,6.7842761570476195,-1440,5
BTC:1777888800,-4.749440713182739,-3.6267622213073447,-22,-2667,-2902,4.986260184448144,-1440,5
BTC:1778173200,-2.919215866990854,-2.429041783641861,-1755,-48,-4635,3.0069965885229033,-1440,5
BTC:1778677200,-2.903815900193907,-0.9067183746143237,1255,-73,-1625,2.9906591356968715,-1440,5
BTC:1788530400,-2.0637949937978184,0.7622668592097037,-526,-3,-3406,2.107285036894302,-1440,5
