fid,bar_ts,entry_ts,i0,entry,entry_close_on_path,P0,OI_E,OI_0,ledger_px_chg_4h,ledger_oi_chg_4h,shape,S,T,C,hours_to_spike,hours_to_top,hours_spike_to_top,top_runup_pct,top_after_48h,fall_24h_after_top_pct,n_false_tops,max_pct_7d,min_pct_7d,first_PR_ge_1_min
BTC:1679655600,1679655600,1679659200,1697040,27558.4,27558.4,28269.9,103191.505,106193.438,-0.0251681116664721,-0.0283660626473699,spike_reversal,20,134,318,0.3333333333333333,2.2333333333333334,1.9,2.545866233163019,False,-4.600141542816704,1.0,5.901648862052933,-3.9131444496052104,6971
BTC:1679774400,1679774400,1679778000,1699020,27341.4,27341.4,27611.8,97769.273,100409.744,-0.0097929146234579,-0.0264191176244331,spike_reversal,898,1018,1199,14.966666666666667,16.966666666666665,2.0,3.092380053691479,False,-2.124745892595503,1.0,6.742156583057191,-3.1505336230039482,281
BTC:1679925600,1679925600,1679929200,1701540,26933.0,26933.0,27900.3,100704.94,104578.588,-0.0346698781016691,-0.0379356777571119,spike_reversal,1732,3580,3607,28.866666666666667,59.666666666666664,30.8,8.36074703894849,True,-5.244853485375955,4.0,8.36074703894849,-1.6819515093008608,2368
BTC:1680195600,1680195600,1680199200,1706040,27830.6,27830.6,28505.0,104179.057,107692.839,-0.0236590071917207,-0.0325751940441585,spike_reversal,1174,1921,2682,19.566666666666666,32.016666666666666,12.45,3.645986791517264,False,-2.3064416040048052,2.0,3.645986791517264,-2.38801894317765,1235
BTC:1680462000,1680462000,1680465600,1710480,27933.7,27933.7,28110.2,104062.457,107594.464,-0.0062788596310235,-0.0329128740529902,spike_reversal,870,870,1119,14.5,14.5,0.0,2.1704965686607958,False,-4.814295725297823,0.0,3.1012719403444633,-2.748293280159808,70
BTC:1680552000,1680552000,1680555600,1711980,27569.3,27569.3,27917.4,98710.285,103552.4,-0.0124689261894016,-0.046961846788461,spike_reversal,589,1777,2464,9.816666666666666,29.616666666666667,19.8,4.464023388334137,False,-3.559027777777779,4.0,6.277634905492713,-1.4628590497401062,124
BTC:1680706800,1680706800,1680710400,1714560,28014.9,28014.9,28544.0,97724.728,101803.112,-0.0185362948430493,-0.0397905935153902,spike_reversal,7181,7809,8038,119.68333333333334,130.15,10.466666666666667,8.838510935252298,True,-2.4233380341740274,4.0,9.09908655751046,-1.1804432641201679,7240
BTC:1681419600,1681419600,1681423200,1726440,30264.9,30264.9,30419.9,112414.242,114899.685,-0.0050953487684048,-0.0213689173782002,spike_reversal,227,533,993,3.783333333333333,8.883333333333333,5.1,2.62383156726107,False,-3.6511156186612603,1.0,2.62383156726107,-7.539757276581128,150
BTC:1687442400,1687442400,1687446000,1826820,29735.4,29735.4,30167.3,115496.275,118293.129,-0.0143168264975651,-0.0241709620693135,spike_reversal,1429,1493,1523,23.816666666666666,24.883333333333333,1.0666666666666667,5.934340886619993,False,-3.930158730158728,0.0,5.934340886619993,-0.2804737787283851,284
BTC:1688648400,1688648400,1688652000,1846920,30361.5,30361.5,31064.7,115020.48,123891.447,-0.0226366261383499,-0.0718893941107191,spike_reversal,6122,6127,6236,102.03333333333333,102.11666666666666,0.08333333333333333,2.234738072888365,True,-3.028350515463918,0.0,2.234738072888365,-2.244619007624793,-1
BTC:1689033600,1689033600,1689037200,1853340,30405.6,30405.6,30773.2,106007.371,114170.638,-0.0119454590357844,-0.0714404211410331,spike_reversal,3764,3992,4084,62.733333333333334,66.53333333333333,3.8,4.750440708290582,True,-6.195918367346942,2.0,4.750440708290582,-2.5508458968084735,1827
BTC:1689289200,1689289200,1689292800,1857600,31441.7,31441.7,31600.6,111378.429,116307.136,-0.0050283855369833,-0.0423962788866513,no_spike,-1,-1,-1,,,,,,,,0.6306910885861772,-6.493605625650012,-1
BTC:1697968800,1697968800,1697972400,2002260,29880.7,29880.7,30062.1,93687.887,95968.986,-0.0060341759225069,-0.0237868703617535,spike_reversal,870,1151,1366,14.5,19.183333333333334,4.683333333333334,3.712429762354952,False,-2.120038722168438,3.0,20.418531025042917,-0.6114314591023629,828
BTC:1698274800,1698274800,1698278400,2007360,34487.7,34487.7,34732.1,83894.769,85730.217,-0.007036718194408,-0.0216246643461243,spike_reversal,9441,9442,9451,157.35,157.36666666666667,0.016666666666666666,2.207453671888837,True,-3.3277539788362787,0.0,3.6137521493170066,-3.2988572737526645,90
BTC:1698426000,1698426000,1698429600,2009880,33609.1,33609.1,34167.3,83916.861,86737.555,-0.0163372581386297,-0.0325723005577168,spike_reversal,1040,3990,4272,17.333333333333332,66.5,49.166666666666664,3.8058144966690577,True,-2.4976926295996793,4.0,7.113549604125091,-0.6150120056770292,679
BTC:1698807600,1698807600,1698811200,2016240,34430.0,34430.0,34651.4,86120.654,88244.189,-0.0063893522339646,-0.0240831360133199,spike_reversal,561,562,571,9.35,9.366666666666667,0.016666666666666666,2.3787394713912224,False,-3.3277539788362787,0.0,4.559686320069711,-1.0281731048504161,531
BTC:1698930000,1698930000,1698933600,2018280,34931.4,34931.4,35377.8,85671.447,87531.706,-0.0126180825263301,-0.0210308430895654,spike_reversal,7605,7617,8179,126.75,126.95,0.2,2.834985142307489,True,-2.362638739257883,0.0,6.488717887058626,-2.3142502161379253,7455
BTC:1699034400,1699034400,1699038000,2020020,34517.1,34517.1,34715.0,83327.598,85444.707,-0.0057007057467953,-0.0248920736435708,spike_reversal,1674,1978,3050,27.9,32.96666666666667,5.066666666666666,2.413006886441793,False,-2.8118811881188144,1.0,11.538628679697904,-0.46672518838488664,272
BTC:1699545600,1699545600,1699549200,2028540,36360.1,36360.1,36892.1,82755.144,95671.879,-0.0144204314744891,-0.1346774745149203,spike_reversal,1111,1789,3191,18.516666666666666,29.816666666666666,11.3,3.32754860410176,False,-2.613787596486561,5.0,4.510163613411411,-5.263461871667008,611
BTC:1699909200,1699909200,1699912800,2034600,36504.0,36504.0,36696.9,81229.521,83238.13,-0.0052565748060463,-0.0242113498047445,spike_reversal,2651,2651,2651,44.18333333333333,44.18333333333333,0.0,2.8695485426254663,False,-3.63101340825267,0.0,4.098181021257941,-5.636916502301115,507
BTC:1699995600,1699995600,1699999200,2036040,35594.1,35594.1,36119.9,78193.078,80362.061,-0.0145570724171441,-0.0269835091749111,spike_reversal,867,1211,1211,14.45,20.183333333333334,5.733333333333333,5.499225995319446,False,-3.63101340825267,2.0,6.759266282895204,-0.5790285468659118,804
BTC:1700161200,1700161200,1700164800,2038800,35936.5,35936.5,36423.1,82565.786,84437.14,-0.0133596536264073,-0.0222634489673902,spike_reversal,390,390,1130,6.5,6.5,0.0,2.089519012702956,False,-2.232646630723345,0.0,5.408150487665742,-0.9065991401499995,335
BTC:1700344800,1700344800,1700348400,2041860,36517.4,36517.4,36714.5,79289.807,81325.89,-0.0053684511568998,-0.0250198494403592,spike_reversal,1442,1463,2351,24.033333333333335,24.383333333333333,0.35,2.7679955308975934,False,-2.4733400482836787,0.0,5.223811114701471,-2.4829259476304544,1162
BTC:1700607600,1700607600,1700611200,2046240,35737.0,35737.0,36989.9,79519.055,81788.249,-0.0338714081411413,-0.0267248524655635,spike_reversal,278,1291,2312,4.633333333333334,21.516666666666666,16.883333333333333,5.996586171195117,False,-2.7024815205913377,4.0,7.52161625206369,-0.35341522791505486,1098
BTC:1701702000,1701702000,1701705600,2064480,41280.8,41280.8,41605.9,82430.62,84552.646,-0.0078137956395607,-0.0259087840323362,spike_reversal,369,379,907,6.15,6.316666666666666,0.16666666666666666,2.808085114629555,False,-2.465834118755894,0.0,8.474884207670396,-2.443508846727782,57
BTC:1702256400,1702256400,1702260000,2073720,43241.7,43241.7,43833.4,81944.182,83751.265,-0.0134988387850362,-0.0215633183426768,no_spike,-1,-1,-1,,,,,,,,0.638041520106758,-6.968736196773007,-1
