variant,n,traded_n,mean_r,total_r,max_dd_r,mar_like,wr_pct,is_total_r,oos_total_r,scope
wick_p3|tilt=half_after_loss|H=off,101,101,0.24479054068707295,24.72384460939437,-7.672552469903156,3.2223754358641012,38.613861386138616,18.19882864675659,6.52501596263779,BTC
wick_p3|tilt=half_after_loss|H=on,101,101,0.21499269235227444,21.71426192757972,-6.399228575131865,3.39326243353204,38.613861386138616,14.906541509403787,6.8077204181759345,BTC
wick_p3|tilt=half_after_2stops_7d|H=off,101,101,0.3370104871001315,34.03805919711328,-12.453374812315587,2.7332397611169483,38.613861386138616,30.064120540501655,3.9739386566116295,BTC
wick_p3|tilt=half_after_2stops_7d|H=on,101,101,0.28499595942176176,28.78459190159794,-10.602592086518367,2.714863654728237,38.613861386138616,24.24058124324626,4.5440106583516755,BTC
base|tilt=none|H=off,73,73,0.7004716973175925,51.134433904184256,-9.101054184673906,5.618517686697678,43.83561643835616,50.74010496583333,0.3943289383509252,ETH
base|tilt=none|H=on,73,73,0.46624637189489054,34.03598514832701,-5.582722320709678,6.096664529071606,43.83561643835616,32.44484382481034,1.591141323516661,ETH
base|tilt=skip_after_loss|H=off,73,32,0.7037619616161874,22.520382771717998,-3.354492744327235,6.713498727878335,46.875,20.14824851395357,2.372134257764428,ETH
base|tilt=skip_after_loss|H=on,73,32,0.5341384741297057,17.092431172150583,-2.6772463721636175,6.384332555220658,46.875,13.803046984543663,3.2893841876069194,ETH
base|tilt=half_after_loss|H=off,73,73,0.5044850457253579,36.82740833795113,-5.508224248182728,6.685894887104717,43.83561643835616,35.44417673989344,1.3832315980576764,ETH
base|tilt=half_after_loss|H=on,73,73,0.3501946323320383,25.564208160238795,-3.2702097382777247,7.817299257907028,43.83561643835616,23.123945404677002,2.4402627555617897,ETH
base|tilt=half_after_2stops_7d|H=off,73,73,0.7141703274545789,52.134433904184256,-9.101054184673906,5.728395067900835,43.83561643835616,50.74010496583333,1.3943289383509252,ETH
base|tilt=half_after_2stops_7d|H=on,73,73,0.47994500203187684,35.03598514832701,-5.582722320709678,6.275788609144583,43.83561643835616,32.44484382481034,2.591141323516661,ETH
wick_p0.5|tilt=none|H=off,73,73,0.13765074056772383,10.04850406144384,-7.205009167485666,1.3946552777184695,69.86301369863014,3.315837847547143,6.732666213896695,ETH
wick_p0.5|tilt=none|H=on,73,73,0.09530177396272431,6.957029499278875,-4.975220666941402,1.3983358658854868,69.86301369863014,1.2810046846059953,5.676024814672879,ETH
wick_p0.5|tilt=skip_after_loss|H=off,73,51,0.1402804327703483,7.154302071287764,-4.003157802413554,1.7871646396188392,72.54901960784314,1.3362882223622305,5.818013848925532,ETH
wick_p0.5|tilt=skip_after_loss|H=on,73,51,0.10756021967150967,5.4855712032469945,-2.691515995646476,2.038097195825661,72.54901960784314,0.38221835182429387,5.1033528514227005,ETH
wick_p0.5|tilt=half_after_loss|H=off,73,73,0.11782743926528495,8.601403066365801,-5.6040834849496095,1.5348456334502916,69.86301369863014,2.3260630349546867,6.275340031411113,ETH
wick_p0.5|tilt=half_after_loss|H=on,73,73,0.0852232924830539,6.221300351262935,-3.7737216759605667,1.6485848415621056,69.86301369863014,0.8316115182151445,5.3896888330477895,ETH
wick_p0.5|tilt=half_after_2stops_7d|H=off,73,73,0.13765074056772383,10.04850406144384,-7.205009167485666,1.3946552777184695,69.86301369863014,3.315837847547143,6.732666213896695,ETH
wick_p0.5|tilt=half_after_2stops_7d|H=on,73,73,0.09530177396272431,6.957029499278875,-4.975220666941402,1.3983358658854868,69.86301369863014,1.2810046846059953,5.676024814672879,ETH
wick_p1|tilt=none|H=off,73,73,0.2879032561155863,21.0169376964378,-6.166357130115825,3.408323140058388,58.9041095890411,14.193604192884358,6.823333503553445,ETH
wick_p1|tilt=none|H=on,73,73,0.19757357398001235,14.422870900540902,-4.270633404578833,3.377220551189707,58.9041095890411,9.205831511304819,5.217039389236081,ETH
