asset,ts,iso,bar_day,bar_day_str,pdo,today_open,gap_pct,hour_low,hour_high,hour_close,btc_30d_pct,regime_available
BTC,1584540000,2020-03-18T14:00:00Z,18339,2020-03-18,5028.86,5312.64,5.643028439845227,5009.37,5381.76,5340.82,-43.97410196616514,True
BTC,1585137600,2020-03-25T12:00:00Z,18346,2020-03-25,6465.25,6744.69,4.322183983604649,6450.0,6635.56,6521.36,-33.532693667965155,True
BTC,1585933200,2020-04-03T17:00:00Z,18355,2020-04-03,6643.36,6793.86,2.2654199079983623,6602.1,6770.0,6751.96,-22.529286902644714,True
BTC,1586433600,2020-04-09T12:00:00Z,18361,2020-04-09,7197.32,7360.26,2.263898228785166,7150.0,7329.39,7183.98,-10.924213455143333,True
BTC,1586437200,2020-04-09T13:00:00Z,18361,2020-04-09,7197.32,7360.26,2.263898228785166,7108.08,7308.85,7303.03,-10.214019980771642,True
BTC,1589511600,2020-05-15T03:00:00Z,18397,2020-05-15,9309.35,9791.97,5.184250243035217,9256.12,9748.51,9490.21,37.71691021752693,True
BTC,1589576400,2020-05-15T21:00:00Z,18397,2020-05-15,9309.35,9791.97,5.184250243035217,9150.0,9409.26,9250.25,37.2204487061574,True
BTC,1589580000,2020-05-15T22:00:00Z,18397,2020-05-15,9309.35,9791.97,5.184250243035217,9211.1,9455.18,9419.98,40.02408062550168,True
BTC,1589587200,2020-05-16T00:00:00Z,18397,2020-05-15,9309.35,9791.97,5.184250243035217,9228.99,9395.83,9316.42,40.70506430819606,True
BTC,1590508800,2020-05-26T16:00:00Z,18408,2020-05-26,8718.14,8900.35,2.0900100250741667,8705.0,8837.26,8726.6,15.660549157655193,True
BTC,1590512400,2020-05-26T17:00:00Z,18408,2020-05-26,8718.14,8900.35,2.0900100250741667,8700.0,8808.45,8790.01,16.207104886377607,True
BTC,1590962400,2020-05-31T22:00:00Z,18413,2020-05-31,9426.6,9697.72,2.8761165213332376,9419.31,9506.74,9469.35,7.062784705364929,True
BTC,1590966000,2020-05-31T23:00:00Z,18413,2020-05-31,9426.6,9697.72,2.8761165213332376,9421.0,9524.0,9461.6,7.066192154710521,True
BTC,1590969600,2020-06-01T00:00:00Z,18413,2020-05-31,9426.6,9697.72,2.8761165213332376,9381.41,9485.63,9448.27,7.038776656969119,True
BTC,1591110000,2020-06-02T15:00:00Z,18415,2020-06-02,9448.27,10202.71,7.984953859277928,9400.0,10183.27,9581.47,9.288932486226905,True
BTC,1591113600,2020-06-02T16:00:00Z,18415,2020-06-02,9448.27,10202.71,7.984953859277928,9266.0,9600.0,9468.81,7.441393396119364,True
BTC,1591117200,2020-06-02T17:00:00Z,18415,2020-06-02,9448.27,10202.71,7.984953859277928,9424.17,9515.24,9478.29,7.073430831414794,True
BTC,1591131600,2020-06-02T21:00:00Z,18415,2020-06-02,9448.27,10202.71,7.984953859277928,9451.0,9529.37,9521.0,7.660385252528688,True
BTC,1591138800,2020-06-02T23:00:00Z,18415,2020-06-02,9448.27,10202.71,7.984953859277928,9400.0,9552.91,9493.42,6.71920141191811,True
BTC,1596344400,2020-08-02T05:00:00Z,18476,2020-08-02,11335.46,11801.17,4.108434946618849,10518.5,12123.46,11169.84,22.810138523464563,True
BTC,1596348000,2020-08-02T06:00:00Z,18476,2020-08-02,11335.46,11801.17,4.108434946618849,11111.88,11410.4,11252.14,23.520126109274216,True
BTC,1596355200,2020-08-02T08:00:00Z,18476,2020-08-02,11335.46,11801.17,4.108434946618849,11254.36,11371.51,11323.78,24.368125380969918,True
BTC,1596358800,2020-08-02T09:00:00Z,18476,2020-08-02,11335.46,11801.17,4.108434946618849,11263.13,11342.83,11281.8,23.96220195582902,True
BTC,1597762800,2020-08-18T15:00:00Z,18492,2020-08-18,11910.99,12281.15,3.1077181661641884,11817.93,12188.72,11941.36,30.77393142268901,True
BTC,1597766400,2020-08-18T16:00:00Z,18492,2020-08-18,11910.99,12281.15,3.1077181661641884,11904.0,12032.49,11934.41,30.861337143320817,True
BTC,1597770000,2020-08-18T17:00:00Z,18492,2020-08-18,11910.99,12281.15,3.1077181661641884,11850.02,12015.25,11982.97,30.987904658318893,True
BTC,1599037200,2020-09-02T09:00:00Z,18507,2020-09-02,11649.51,11921.97,2.3388108169356405,11656.81,11745.9,11711.61,4.662610021385412,True
BTC,1599044400,2020-09-02T11:00:00Z,18507,2020-09-02,11649.51,11921.97,2.3388108169356405,11520.01,11743.3,11574.27,3.3255518111009477,True
BTC,1599307200,2020-09-05T12:00:00Z,18510,2020-09-05,10138.29,10446.25,3.037593124678808,10123.0,10299.99,10225.66,-12.545060975036112,True
BTC,1599310800,2020-09-05T13:00:00Z,18510,2020-09-05,10138.29,10446.25,3.037593124678808,9975.0,10269.01,10001.75,-14.953925847697224,True
BTC,1599314400,2020-09-05T14:00:00Z,18510,2020-09-05,10138.29,10446.25,3.037593124678808,9997.36,10320.81,10306.47,-13.157335957761982,True
BTC,1599325200,2020-09-05T17:00:00Z,18510,2020-09-05,10138.29,10446.25,3.037593124678808,10018.18,10298.99,10240.15,-13.40180466642424,True
BTC,1599328800,2020-09-05T18:00:00Z,18510,2020-09-05,10138.29,10446.25,3.037593124678808,10045.64,10271.94,10129.79,-14.602874056439132,True
BTC,1599332400,2020-09-05T19:00:00Z,18510,2020-09-05,10138.29,10446.25,3.037593124678808,9825.0,10243.0,10156.73,-14.259749973197552,True
BTC,1599336000,2020-09-05T20:00:00Z,18510,2020-09-05,10138.29,10446.25,3.037593124678808,9875.0,10198.0,9956.66,-16.074721925332017,True
BTC,1599343200,2020-09-05T22:00:00Z,18510,2020-09-05,10138.29,10446.25,3.037593124678808,9983.18,10140.0,10081.95,-14.134127552589057,True
BTC,1599346800,2020-09-05T23:00:00Z,18510,2020-09-05,10138.29,10446.25,3.037593124678808,9972.22,10139.76,9982.5,-15.258985348908874,True
BTC,1599350400,2020-09-06T00:00:00Z,18510,2020-09-05,10138.29,10446.25,3.037593124678808,9950.24,10200.0,10166.69,-13.566634870596786,True
BTC,1603897200,2020-10-28T15:00:00Z,18563,2020-10-28,13052.15,13636.16,4.47443524630042,12888.0,13173.0,13069.26,20.331902834082648,True
BTC,1603900800,2020-10-28T16:00:00Z,18563,2020-10-28,13052.15,13636.16,4.47443524630042,13040.0,13242.3,13221.26,21.274823654592325,True
